claro_id,nivel_m,direccion,grupo,perfil,elementos,nodos,nodo_i,nodo_j,nodo_critico,longitud_m,delta_max_m,delta_adm_m,ratio,uz_critico_m,uz_cuerda_m,nodos_intermedios,estado,metodo
DV-0024,12.8,X,Viga_2,IR 356 x 44.6,"430, 431","85, 96, 86",85,86,96,5.300000000000001,0.002030687829286165,0.022083333333333337,0.0919556752884301,-0.004162779846526688,-0.002132092017240523,1,Cumple,delta_nodal_local_vs_cuerda
DV-0036,3.2,Y,Viga_1,IR 356 x 44.6,"149, 150","33, 34, 35",33,35,34,6.1000000000000005,0.0023062561273586215,0.025416666666666667,0.09073794599443756,-0.004801308396968525,-0.002495052269609903,1,Cumple,delta_nodal_local_vs_cuerda
DV-0010,12.8,Y,Viga_2,IR 356 x 44.6,"449, 450","96, 97, 98",96,98,97,6.1000000000000005,0.0023018954724272006,0.025416666666666667,0.0905663792430374,-0.006335859040042384,-0.004033963567615183,1,Cumple,delta_nodal_local_vs_cuerda
DV-0062,6.4,Y,Viga_1,IR 356 x 44.6,"249, 250","54, 55, 56",54,56,55,6.1000000000000005,0.0022941719337421186,0.025416666666666667,0.09026250231116532,-0.005356160389067701,-0.0030619884553255827,1,Cumple,delta_nodal_local_vs_cuerda
DV-0088,9.6,Y,Viga_1,IR 356 x 44.6,"349, 350","75, 76, 77",75,77,76,6.1000000000000005,0.0022889740208439416,0.025416666666666667,0.09005799426271245,-0.0057119965724513775,-0.003423022551607436,1,Cumple,delta_nodal_local_vs_cuerda
DV-0018,12.8,X,Viga_2,IR 356 x 44.6,"437, 438","89, 98, 90",89,90,98,5.300000000000001,0.001739072030532792,0.022083333333333337,0.07875043157129623,-0.003638926978953233,-0.001899854948420441,1,Cumple,delta_nodal_local_vs_cuerda
DV-0050,3.2,X,Viga_1,IR 356 x 44.6,"130, 131","22, 33, 23",22,23,33,5.299999999999999,0.0017272567108242668,0.02208333333333333,0.07821539822600454,-0.0025811805577913437,-0.0008539238469670769,1,Cumple,delta_nodal_local_vs_cuerda
DV-0076,6.4,X,Viga_1,IR 356 x 44.6,"230, 231","43, 54, 44",43,44,54,5.300000000000001,0.0016663207563137575,0.022083333333333337,0.07545603424817014,-0.003160036088509909,-0.0014937153321961513,1,Cumple,delta_nodal_local_vs_cuerda
DV-0102,9.6,X,Viga_1,IR 356 x 44.6,"330, 331","64, 75, 65",64,65,75,5.300000000000001,0.0016084661724934922,0.022083333333333337,0.07283620403744115,-0.003528188554444643,-0.0019197223819511506,1,Cumple,delta_nodal_local_vs_cuerda
DV-0044,3.2,X,Viga_1,IR 356 x 44.6,"137, 138","26, 35, 27",26,27,35,5.299999999999999,0.001469757798952481,0.02208333333333333,0.06655507014124443,-0.002230925519186819,-0.0007611677202343381,1,Cumple,delta_nodal_local_vs_cuerda
