elemento,grupo,perfil,rol_critico,combo,extremo,material,Fy_kg_cm2,E_kg_cm2,A_cm2,Ix_cm4,Iy_cm4,rx_cm,ry_cm,J_cm4,b_ext_mm,b_flat_mm,t_mm,lambda_pared,lambda_p,lambda_r,clasificacion_local,tipo_elemento_local,Kx,Ky,L_m,KL_rx,KL_ry,Fe_x_MPa,Fe_y_MPa,Fcr_x_MPa,Fcr_y_MPa,Ae_cm2,Q_local,Pn_fluencia_N,Pn_pandeo_x_N,Pn_pandeo_y_N,Pn_control_N,PR_N,estado_limite_axial,S_cm3,Z_cm3,Mn_x_Nm,Mn_y_Nm,MRx_Nm,MRy_Nm,estado_limite_flexion,Vy_max_N,Vz_max_N,VRy_N,VRz_N,Cv_cortante,Pu_N,Mux_Nm,Muy_Nm,M_resultante_Nm,ratio_axial,ratio_mx,ratio_my,ratio_flexion,interaccion_pm,ecuacion_interaccion,utilizacion_cortante_y,utilizacion_cortante_z,utilizacion_control,limite_esbeltez,cumple_esbeltez,p_delta_global,p_delta_local,requisitos_sismicos,dictamen
102,Columna_1,ORC 178 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,57.87,2705.5,2705.5,6.83,6.83,4370.4,178.0,152.19000000000003,8.9,17.1,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,46.85212298682284,46.85212298682284,899.3472877879295,899.3472877879295,273.77922968434274,273.77922968434274,57.87,1.0,1836524.7044999998,1584360.4021832913,1584360.4021832913,1584360.4021832913,1425924.3619649622,pandeo_x,304.79999999999995,362.2,114945.4377,114945.4377,103450.89392999999,103450.89392999999,fluencia_plastica,2502.4494855317184,273.30077402228216,542971.527876,542971.527876,1.0,503471.28446725773,272.78242055107717,4151.354789145017,4160.307300466995,0.35308414520210646,0.0026368299991264966,0.04012874738379767,0.042765577382924164,0.3910979917647057,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.004608804250419572,0.000503342735283712,0.3910979917647057,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
114,Columna_1,ORC 178 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,57.87,2705.5,2705.5,6.83,6.83,4370.4,178.0,152.19000000000003,8.9,17.1,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,46.85212298682284,46.85212298682284,899.3472877879295,899.3472877879295,273.77922968434274,273.77922968434274,57.87,1.0,1836524.7044999998,1584360.4021832913,1584360.4021832913,1584360.4021832913,1425924.3619649622,pandeo_x,304.79999999999995,362.2,114945.4377,114945.4377,103450.89392999999,103450.89392999999,fluencia_plastica,2459.6685246374095,279.4279097985781,542971.527876,542971.527876,1.0,496280.59350952436,317.7795461209638,4086.0690489852036,4098.407509387968,0.34804131744101513,0.003071791204974886,0.039497667866940235,0.042569459071915124,0.38588083661605077,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.004530013819065539,0.0005146271866070883,0.38588083661605077,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
115,Columna_1,ORC 178 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,57.87,2705.5,2705.5,6.83,6.83,4370.4,178.0,152.19000000000003,8.9,17.1,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,46.85212298682284,46.85212298682284,899.3472877879295,899.3472877879295,273.77922968434274,273.77922968434274,57.87,1.0,1836524.7044999998,1584360.4021832913,1584360.4021832913,1584360.4021832913,1425924.3619649622,pandeo_x,304.79999999999995,362.2,114945.4377,114945.4377,103450.89392999999,103450.89392999999,fluencia_plastica,2559.026132512352,191.44146329694047,542971.527876,542971.527876,1.0,452527.4703778157,226.6742746836344,4210.708705040023,4216.80554750906,0.31735727535661196,0.002191129202199195,0.04070248738390987,0.042893616586109067,0.35548493454426444,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.004713002434073788,0.00035258103504215514,0.35548493454426444,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
103,Columna_1,ORC 178 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,57.87,2705.5,2705.5,6.83,6.83,4370.4,178.0,152.19000000000003,8.9,17.1,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,46.85212298682284,46.85212298682284,899.3472877879295,899.3472877879295,273.77922968434274,273.77922968434274,57.87,1.0,1836524.7044999998,1584360.4021832913,1584360.4021832913,1584360.4021832913,1425924.3619649622,pandeo_x,304.79999999999995,362.2,114945.4377,114945.4377,103450.89392999999,103450.89392999999,fluencia_plastica,2616.9994443552937,312.9382845699513,542971.527876,542971.527876,1.0,441973.22711121547,348.5254845027213,4310.98120370941,4325.046699410735,0.30995559014235824,0.0033689944210491883,0.041671763673945955,0.045040758094995144,0.3499918195601317,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.004819772879422409,0.0005763438200785694,0.3499918195601317,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
106,Columna_2,ORC 254 x 15.9,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,135.48,12653.4,12653.4,9.65,9.65,20728.3,254.0,210.16,14.8,14.2,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,33.160621761658035,33.160621761658035,1795.3149550585645,1795.3149550585645,294.7212981613243,294.7212981613243,135.48,1.0,4299505.217999999,3992884.147489621,3992884.147489621,3992884.147489621,3593595.732740659,pandeo_x,996.2999999999998,1199.5,380665.52325,380665.52325,342598.97092500003,342598.97092500003,fluencia_plastica,15036.58394353388,188.37435795328116,1288434.8993760003,1288434.8993760003,1.0,1036848.5500676088,20.551045742496896,21374.552426110084,21374.56230574113,0.2885267646054486,5.9985719417107717e-05,0.06238942390398858,0.062449409623405686,0.34403735093736476,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.011670425840542058,0.00014620401701670175,0.34403735093736476,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
105,Columna_1,ORC 178 x 9.5,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,57.87,2705.5,2705.5,6.83,6.83,4370.4,178.0,152.19000000000003,8.9,17.1,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,46.85212298682284,46.85212298682284,899.3472877879295,899.3472877879295,273.77922968434274,273.77922968434274,57.87,1.0,1836524.7044999998,1584360.4021832913,1584360.4021832913,1584360.4021832913,1425924.3619649622,pandeo_x,304.79999999999995,362.2,114945.4377,114945.4377,103450.89392999999,103450.89392999999,fluencia_plastica,325.51445365252374,2317.2712098937673,542971.527876,542971.527876,1.0,471895.4951939659,811.5428699831249,679.0358325217492,1058.1547579012024,0.3309400609045498,0.007844715875845936,0.006563846929937778,0.014408562805783714,0.34374767228746866,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.0005995055669417392,0.004267758235792741,0.34374767228746866,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
202,Columna_1,ORC 178 x 9.5,interaccion,SISMO_DOWN_1,J,A500 Gr B,3235.0,2039696.5324550178,57.87,2705.5,2705.5,6.83,6.83,4370.4,178.0,152.19000000000003,8.9,17.1,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,46.85212298682284,46.85212298682284,899.3472877879295,899.3472877879295,273.77922968434274,273.77922968434274,57.87,1.0,1836524.7044999998,1584360.4021832913,1584360.4021832913,1584360.4021832913,1425924.3619649622,pandeo_x,304.79999999999995,362.2,114945.4377,114945.4377,103450.89392999999,103450.89392999999,fluencia_plastica,3321.532526255655,586.8039501438174,542971.527876,542971.527876,1.0,400353.3071247392,1031.3594113005856,5470.0460577731355,5566.426691283889,0.2807675622941469,0.009969555333165653,0.05287577371225463,0.06284532904542028,0.33663007700118713,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.0061173235717328495,0.001080726925846888,0.33663007700118713,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
214,Columna_1,ORC 178 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,57.87,2705.5,2705.5,6.83,6.83,4370.4,178.0,152.19000000000003,8.9,17.1,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,46.85212298682284,46.85212298682284,899.3472877879295,899.3472877879295,273.77922968434274,273.77922968434274,57.87,1.0,1836524.7044999998,1584360.4021832913,1584360.4021832913,1584360.4021832913,1425924.3619649622,pandeo_x,304.79999999999995,362.2,114945.4377,114945.4377,103450.89392999999,103450.89392999999,fluencia_plastica,3407.6321710604243,812.1634107121188,542971.527876,542971.527876,1.0,394483.591507026,1234.868460950734,5503.656101947319,5640.490280494489,0.2766511338395376,0.011936759693795467,0.0532006625836541,0.06513742227744956,0.3345510647528261,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.0062758947681666195,0.0014957753197283575,0.3345510647528261,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
109,Columna_1,ORC 178 x 9.5,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,57.87,2705.5,2705.5,6.83,6.83,4370.4,178.0,152.19000000000003,8.9,17.1,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,46.85212298682284,46.85212298682284,899.3472877879295,899.3472877879295,273.77922968434274,273.77922968434274,57.87,1.0,1836524.7044999998,1584360.4021832913,1584360.4021832913,1584360.4021832913,1425924.3619649622,pandeo_x,304.79999999999995,362.2,114945.4377,114945.4377,103450.89392999999,103450.89392999999,fluencia_plastica,335.1216857225103,2240.480652170636,542971.527876,542971.527876,1.0,459106.70038814464,636.6943284647585,698.5494877977586,945.1725000240436,0.3219712858790653,0.006154556082382212,0.006752474157163222,0.012907030239545435,0.3334442016475502,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.000617199371454046,0.004126331745119241,0.3334442016475502,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
110,Columna_2,ORC 254 x 15.9,interaccion,GRAV_DISEÑO,J,A500 Gr B,3235.0,2039696.5324550178,135.48,12653.4,12653.4,9.65,9.65,20728.3,254.0,210.16,14.8,14.2,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,33.160621761658035,33.160621761658035,1795.3149550585645,1795.3149550585645,294.7212981613243,294.7212981613243,135.48,1.0,4299505.217999999,3992884.147489621,3992884.147489621,3992884.147489621,3593595.732740659,pandeo_x,996.2999999999998,1199.5,380665.52325,380665.52325,342598.97092500003,342598.97092500003,fluencia_plastica,13565.879698731886,277.062720891512,1288434.8993760003,1288434.8993760003,1.0,987837.0735438819,373.58449216096244,17476.323780610845,17480.31630885229,0.2748882030730004,0.00109044254030391,0.05101102240157245,0.05210146494187636,0.32120061635466823,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.010528960140168474,0.00021503819946641913,0.32120061635466823,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
203,Columna_1,ORC 178 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,57.87,2705.5,2705.5,6.83,6.83,4370.4,178.0,152.19000000000003,8.9,17.1,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,46.85212298682284,46.85212298682284,899.3472877879295,899.3472877879295,273.77922968434274,273.77922968434274,57.87,1.0,1836524.7044999998,1584360.4021832913,1584360.4021832913,1584360.4021832913,1425924.3619649622,pandeo_x,304.79999999999995,362.2,114945.4377,114945.4377,103450.89392999999,103450.89392999999,fluencia_plastica,3727.6781733844473,873.761778177781,542971.527876,542971.527876,1.0,349075.32031183364,1362.2827975985906,5978.093017120324,6131.346552102223,0.24480633729463633,0.013168400444372948,0.0577867700318317,0.07095517047620464,0.30787759994015157,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.006865328994259434,0.0016092220923549503,0.30787759994015157,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
215,Columna_1,ORC 178 x 9.5,interaccion,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,57.87,2705.5,2705.5,6.83,6.83,4370.4,178.0,152.19000000000003,8.9,17.1,28.118328025378982,35.14791003172372,compacta,pared atiesada en compresion,1.0,1.0,3.2,46.85212298682284,46.85212298682284,899.3472877879295,899.3472877879295,273.77922968434274,273.77922968434274,57.87,1.0,1836524.7044999998,1584360.4021832913,1584360.4021832913,1584360.4021832913,1425924.3619649622,pandeo_x,304.79999999999995,362.2,114945.4377,114945.4377,103450.89392999999,103450.89392999999,fluencia_plastica,3510.162910032594,586.9307437721377,542971.527876,542971.527876,1.0,358562.86823123763,919.1779314550548,5636.162074887693,5710.622645918424,0.2514599496267308,0.008885161805146084,0.05448152123945299,0.06336668304459908,0.30778589011081886,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.006464727393282802,0.001080960443852549,0.30778589011081886,200.0,True,Incluido en columnas mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar si se requiere metodo B1/B2 especifico.,"Continuidad de columna y compatibilidad de nudos se verifican en constructibilidad; placas, diafragmas o rigidizadores requieren revision de conexion.",Cumple
