elemento,grupo,perfil,combo_axial,extremo_axial,material,Fy_kg_cm2,E_kg_cm2,A_cm2,b_ext_mm,b_flat_mm,t_mm,r_cm,lambda_pared,lambda_p,lambda_r,clasificacion_local,K,L_m,KL_r,limite_esbeltez,cumple_esbeltez,Pu_N,Tu_N,Pn_compresion_N,PR_compresion_N,Tn_fluencia_N,TR_tension_N,utilizacion_compresion,utilizacion_tension,utilizacion_control,estado_control,estado,observacion
367,Contraviento_2,ORC 76 x 6.4,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.71,76.0,58.410000000000004,5.8999999999999995,2.84,9.9,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,158.35521379282076,200.0,True,77436.34383836781,77436.34383836781,108466.84878258777,97620.16390432899,498562.3485,448706.11365,0.7932412807077236,0.172576975179727,0.7932412807077236,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
355,Contraviento_2,ORC 76 x 6.4,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.71,76.0,58.410000000000004,5.8999999999999995,2.84,9.9,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,158.35521379282076,200.0,True,77041.90827359972,77041.90827359972,108466.84878258777,97620.16390432899,498562.3485,448706.11365,0.7892007674675015,0.17169792416444318,0.7892007674675015,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
356,Contraviento_2,ORC 76 x 6.4,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.71,76.0,58.410000000000004,5.8999999999999995,2.84,9.9,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,158.35521379282076,200.0,True,64659.687490141165,64659.687490141165,108466.84878258777,97620.16390432899,498562.3485,448706.11365,0.6623599562228744,0.14410253286759772,0.6623599562228744,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
368,Contraviento_2,ORC 76 x 6.4,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.71,76.0,58.410000000000004,5.8999999999999995,2.84,9.9,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,158.35521379282076,200.0,True,62290.529957605235,62290.529957605235,108466.84878258777,97620.16390432899,498562.3485,448706.11365,0.6380908151173771,0.1388225568198813,0.6380908151173771,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
358,Contraviento_2,ORC 76 x 6.4,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.71,76.0,58.410000000000004,5.8999999999999995,2.84,9.9,28.118328025378982,35.14791003172372,compacta,1.0,4.203049488169275,147.99470028765055,200.0,True,70892.78814426946,70892.78814426946,124185.08242630005,111766.57418367005,498562.3485,448706.11365,0.6342932908345995,0.1579938092833014,0.6342932908345995,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
370,Contraviento_2,ORC 76 x 6.4,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.71,76.0,58.410000000000004,5.8999999999999995,2.84,9.9,28.118328025378982,35.14791003172372,compacta,1.0,4.199809519490142,147.8806168834557,200.0,True,67930.7209427095,67930.7209427095,124376.76301348794,111939.08671213915,498562.3485,448706.11365,0.6068543431786173,0.15139245683578284,0.6068543431786173,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
468,Contraviento_2,ORC 76 x 6.4,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.71,76.0,58.410000000000004,5.8999999999999995,2.84,9.9,28.118328025378982,35.14791003172372,compacta,1.0,4.497288071716109,158.35521379282073,200.0,True,58458.07908896443,58458.07908896443,108466.84878258784,97620.16390432906,498562.3485,448706.11365,0.5988320112457017,0.13028144103818234,0.5988320112457017,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
456,Contraviento_2,ORC 76 x 6.4,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.71,76.0,58.410000000000004,5.8999999999999995,2.84,9.9,28.118328025378982,35.14791003172372,compacta,1.0,4.497288071716109,158.35521379282073,200.0,True,56898.57424005072,56898.57424005072,108466.84878258784,97620.16390432906,498562.3485,448706.11365,0.5828567783989093,0.12680588142026694,0.5828567783989093,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
457,Contraviento_2,ORC 76 x 6.4,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.71,76.0,58.410000000000004,5.8999999999999995,2.84,9.9,28.118328025378982,35.14791003172372,compacta,1.0,4.203049488169273,147.99470028765046,200.0,True,54721.3898555801,54721.3898555801,124185.0824263002,111766.57418367018,498562.3485,448706.11365,0.48960425113911427,0.12195374252971268,0.48960425113911427,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
369,Contraviento_2,ORC 76 x 6.4,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.71,76.0,58.410000000000004,5.8999999999999995,2.84,9.9,28.118328025378982,35.14791003172372,compacta,1.0,4.206292904684599,148.10890509452813,200.0,True,52832.57746206864,52832.57746206864,123993.64133280063,111594.27719952057,498562.3485,448706.11365,0.47343446983046206,0.11774427816974016,0.47343446983046206,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
