elemento,grupo,perfil,combo_momento,extremo_momento,combo_cortante,extremo_cortante,eje_flexion,inciso_ntc,clasificacion_patin,clasificacion_alma,material,Fy_kg_cm2,E_kg_cm2,d_mm,h_mm,bf_mm,tf_mm,tw_mm,Ix_cm4,Iy_cm4,Sx_cm3,Zx_cm3,ry_cm,J_cm4,Cw_cm6,lambda_f,lambda_f_p,lambda_f_r,lambda_w,lambda_w_p,lambda_w_r,Lb_m,Cb,Lu_m,Lr_m,Mu_Nm,Vu_N,Mp_Nm,My_Nm,Mn_control_Nm,MR_Nm,estado_limite_control,utilizacion_flexion,Vn_N,VR_N,Cv,utilizacion_cortante,utilizacion_flexion_cortante,estado,utilizacion_control,demanda_control,Mu_modelo_Nm,Vu_modelo_N,Mu_local_Nm,Vu_local_N,local_claro_id,local_longitud_m,local_w_diseno_N_m,local_w_servicio_N_m,local_delta_mm,local_delta_adm_mm,local_deflexion_ratio,local_deflexion_estado,local_metodo,deflexion_claro_id,deflexion_ratio,deflexion_delta_mm,deflexion_adm_mm,deflexion_estado,alertas
132,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0034,GRAV_DISEÑO,VL-0034,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.6108021946441065,4.534251497266598,68748.08413584376,45080.71090875,267581.484,237582.01349999997,103981.0316883108,93582.92851947973,PLT,0.7346220643387273,501073.91451000003,450966.523059,1.0,0.09996465059747257,0.7446149957078021,Cumple,0.7446149957078021,local_gravitacional,2388.5346694047034,1923.4294631401403,68748.08413584376,45080.71090875,VL-0034,6.1000000000000005,14780.560953688524,11072.189176229507,8.238604733178724,25.416666666666668,0.3241418255676875,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0034,0.3241418255676875,8.238604733178724,25.416666666666668,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
232,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0060,GRAV_DISEÑO,VL-0060,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.6108021946441065,4.534251497266598,68748.08413584376,45080.71090875,267581.484,237582.01349999997,103981.0316883108,93582.92851947973,PLT,0.7346220643387273,501073.91451000003,450966.523059,1.0,0.09996465059747257,0.7446149957078021,Cumple,0.7446149957078021,local_gravitacional,2831.9164231313625,2076.363759191487,68748.08413584376,45080.71090875,VL-0060,6.1000000000000005,14780.560953688524,11072.189176229507,8.238604733178724,25.416666666666668,0.3241418255676875,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0060,0.3241418255676875,8.238604733178724,25.416666666666668,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
332,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0086,GRAV_DISEÑO,VL-0086,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.6108021946441065,4.534251497266598,68748.08413584376,45080.71090875,267581.484,237582.01349999997,103981.0316883108,93582.92851947973,PLT,0.7346220643387273,501073.91451000003,450966.523059,1.0,0.09996465059747257,0.7446149957078021,Cumple,0.7446149957078021,local_gravitacional,3172.4942660930897,2186.3035846708094,68748.08413584376,45080.71090875,VL-0086,6.1000000000000005,14780.560953688524,11072.189176229507,8.238604733178724,25.416666666666668,0.3241418255676875,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0086,0.3241418255676875,8.238604733178724,25.416666666666668,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
432,Viga_2,IR 356 x 44.6,GRAV_DISEÑO,VL-0008,GRAV_DISEÑO,VL-0008,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.6108021946441065,4.534251497266598,68748.08413584376,45080.71090875,267581.484,237582.01349999997,103981.0316883108,93582.92851947973,PLT,0.7346220643387273,501073.91451000003,450966.523059,1.0,0.09996465059747257,0.7446149957078021,Cumple,0.7446149957078021,local_gravitacional,3065.835253846319,2125.3260248825427,68748.08413584376,45080.71090875,VL-0008,6.1000000000000005,14780.560953688524,11072.189176229507,8.238604733178724,25.416666666666668,0.3241418255676875,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0008,0.3241418255676875,8.238604733178724,25.416666666666668,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
134,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0043,GRAV_DISEÑO,VL-0043,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,6.32,1.0,1.6108021946441065,4.534251497266598,64757.974333702514,40986.059704875006,267581.484,237582.01349999997,98609.11261654318,88748.20135488886,PLT,0.7296821044828442,501073.91451000003,450966.523059,1.0,0.0908849273929648,0.7379421745100687,Cumple,0.7379421745100687,local_gravitacional,15725.946444788262,5202.451788202066,64757.974333702514,40986.059704875006,VL-0043,6.32,12970.272058504748,9717.551227452532,8.331553385714987,26.333333333333332,0.3163881032549995,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0043,0.3163881032549995,8.331553385714987,26.333333333333332,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
234,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0069,GRAV_DISEÑO,VL-0069,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,6.32,1.0,1.6108021946441065,4.534251497266598,64757.974333702514,40986.059704875006,267581.484,237582.01349999997,98609.11261654318,88748.20135488886,PLT,0.7296821044828442,501073.91451000003,450966.523059,1.0,0.0908849273929648,0.7379421745100687,Cumple,0.7379421745100687,local_gravitacional,16317.512203649616,5504.823825080227,64757.974333702514,40986.059704875006,VL-0069,6.32,12970.272058504748,9717.551227452532,8.331553385714987,26.333333333333332,0.3163881032549995,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0069,0.3163881032549995,8.331553385714987,26.333333333333332,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
334,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0095,GRAV_DISEÑO,VL-0095,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,6.32,1.0,1.6108021946441065,4.534251497266598,64757.974333702514,40986.059704875006,267581.484,237582.01349999997,98609.11261654318,88748.20135488886,PLT,0.7296821044828442,501073.91451000003,450966.523059,1.0,0.0908849273929648,0.7379421745100687,Cumple,0.7379421745100687,local_gravitacional,15666.412682359245,5402.4000402553,64757.974333702514,40986.059704875006,VL-0095,6.32,12970.272058504748,9717.551227452532,8.331553385714987,26.333333333333332,0.3163881032549995,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0095,0.3163881032549995,8.331553385714987,26.333333333333332,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
434,Viga_2,IR 356 x 44.6,GRAV_DISEÑO,VL-0017,GRAV_DISEÑO,VL-0017,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,6.32,1.0,1.6108021946441065,4.534251497266598,64757.974333702514,40986.059704875006,267581.484,237582.01349999997,98609.11261654318,88748.20135488886,PLT,0.7296821044828442,501073.91451000003,450966.523059,1.0,0.0908849273929648,0.7379421745100687,Cumple,0.7379421745100687,local_gravitacional,15489.435412520765,4784.713148163397,64757.974333702514,40986.059704875006,VL-0017,6.32,12970.272058504748,9717.551227452532,8.331553385714987,26.333333333333332,0.3163881032549995,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0017,0.3163881032549995,8.331553385714987,26.333333333333332,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
128,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0049,GRAV_DISEÑO,VL-0049,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,6.32,1.0,1.6108021946441065,4.534251497266598,64757.97433370251,40986.059704875,267581.484,237582.01349999997,98609.11261654318,88748.20135488886,PLT,0.7296821044828441,501073.91451000003,450966.523059,1.0,0.09088492739296479,0.7379421745100686,Cumple,0.7379421745100686,local_gravitacional,17036.781333711828,5476.177671348362,64757.97433370251,40986.059704875,VL-0049,6.32,12970.272058504746,9717.551227452532,8.331553385714987,26.333333333333332,0.3163881032549995,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0049,0.3163881032549995,8.331553385714987,26.333333333333332,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
228,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0075,GRAV_DISEÑO,VL-0075,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,6.32,1.0,1.6108021946441065,4.534251497266598,64757.97433370251,40986.059704875,267581.484,237582.01349999997,98609.11261654318,88748.20135488886,PLT,0.7296821044828441,501073.91451000003,450966.523059,1.0,0.09088492739296479,0.7379421745100686,Cumple,0.7379421745100686,local_gravitacional,17566.18989617686,5773.288741576349,64757.97433370251,40986.059704875,VL-0075,6.32,12970.272058504746,9717.551227452532,8.331553385714987,26.333333333333332,0.3163881032549995,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0075,0.3163881032549995,8.331553385714987,26.333333333333332,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
