elemento,tipo,grupo,perfil,combo,tipo_combo,metodo,tipo_valor,extremo,nodo,longitud_m,P_N,Vy_N,Vz_N,T_Nm,My_Nm,Mz_Nm,V_resultante_N,M_resultante_Nm
101,COLUMNA,Columna_1,ORC 178 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,1,3.2,288750.6298245347,16.761948707848525,15.318119445178922,-0.6427154996086795,-40.41320385474967,1.502636878108376,22.70699689129572,40.441129600853195
101,COLUMNA,Columna_1,ORC 178 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,17,3.2,-286775.8532805347,-16.761948707848525,-15.318119445178922,0.6427154996086795,-8.60477836982288,52.13559898700691,22.70699689129572,52.840920625285925
102,COLUMNA,Columna_1,ORC 178 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,2,3.2,450075.0667106316,-201.07233461836563,-169.73761591491566,-0.6427154996086795,160.59052002051476,-190.40328047969786,263.1367363280153,249.08376971992743
102,COLUMNA,Columna_1,ORC 178 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,18,3.2,-448100.2901666316,201.07233461836563,169.73761591491566,0.6427154996086795,382.5698509072154,-453.0281902990722,263.1367363280153,592.9538194740138
103,COLUMNA,Columna_1,ORC 178 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,3,3.2,377616.75489246025,362.3057479933888,261.0213618279725,-0.6427154996086396,-302.3124092906544,410.53334097283994,446.53959103261866,509.8337149124626
103,COLUMNA,Columna_1,ORC 178 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,19,3.2,-375641.9783484602,-362.30574799338996,-261.0213618279725,0.6427154996086396,-532.9559485588576,748.8450526060061,446.53959103261957,919.1359833652275
104,COLUMNA,Columna_1,ORC 178 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,4,3.2,239422.84674533072,171.58813334633692,27.854223567090184,-0.6427154996086795,-53.78504825145502,155.6140508197004,173.83424655632658,164.64678626662484
104,COLUMNA,Columna_1,ORC 178 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,20,3.2,-237448.07020133073,-171.58813334633692,-27.854223567090184,0.6427154996086795,-35.34846716323357,393.46797588857777,173.83424655632658,395.052606852106
105,COLUMNA,Columna_1,ORC 178 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,5,3.2,473870.27173796593,310.62143317725895,389.81632964219114,-0.6427154996086795,-435.86938487188695,314.9527536454795,498.4400120423758,537.7521340705839
105,COLUMNA,Columna_1,ORC 178 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,21,3.2,-471895.4951939659,-310.62143317725895,-389.81632964219114,0.6427154996086795,-811.5428699831249,679.0358325217492,498.4400120423758,1058.1547579012024
106,COLUMNA,Columna_2,ORC 254 x 15.9,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,6,3.2,1041472.6858436088,-9975.332191859816,54.494302242144016,-3.0483250252925567,-153.83072143236396,-10546.510587841329,9975.481039375074,10547.632410655277
106,COLUMNA,Columna_2,ORC 254 x 15.9,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,22,3.2,-1036848.5500676088,9975.332191859816,-54.494302242144016,3.0483250252925567,-20.551045742496896,-21374.552426110084,9975.481039375074,21374.56230574113
