elemento,tipo,grupo,perfil,longitud_m,P_max_N,P_combo,P_extremo,Vy_max_N,Vy_combo,Vy_extremo,Vz_max_N,Vz_combo,Vz_extremo,V_resultante_max_N,V_resultante_combo,V_resultante_extremo,T_max_Nm,T_combo,T_extremo,My_max_Nm,My_combo,My_extremo,Mz_max_Nm,Mz_combo,Mz_extremo,M_resultante_max_Nm,M_resultante_combo,M_resultante_extremo
101,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,350091.9293126838,SISMO_DOWN_1,I,103.41001139522002,SISMO_DOWN_1,I,1860.8698958656737,SISMO_DOWN_1,I,1863.7409690715829,SISMO_DOWN_1,I,2.069213316991336,SISMO_DOWN_1,I,3501.653875705549,SISMO_DOWN_1,I,220.19603705107318,SISMO_DOWN_1,J,3503.4070601754047,SISMO_DOWN_1,I
102,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,503471.28446725773,SISMO_DOWN_1,I,2502.4494855317184,SISMO_DOWN_1,I,273.30077402228216,SISMO_DOWN_1,I,2517.329287304134,SISMO_DOWN_1,I,2.069213316991336,SISMO_DOWN_1,I,601.7904657875622,SISMO_DOWN_1,J,4151.354789145017,SISMO_DOWN_1,I,4160.307300466995,SISMO_DOWN_1,I
103,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,441973.22711121547,SISMO_DOWN_1,I,2616.9994443552937,SISMO_DOWN_1,J,312.9382845699513,SISMO_DOWN_1,I,2635.643462554353,SISMO_DOWN_1,J,2.0692133169913287,SISMO_DOWN_1,I,652.9002917300471,SISMO_DOWN_1,J,4310.98120370941,SISMO_DOWN_1,I,4325.046699410735,SISMO_DOWN_1,I
104,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,309162.43063344475,SISMO_DOWN_1,I,224.23266570323509,SISMO_DOWN_1,I,1900.2882168297558,SISMO_DOWN_1,I,1913.4721308110009,SISMO_DOWN_1,I,2.069213316991336,SISMO_DOWN_1,I,3543.38376775972,SISMO_DOWN_1,I,486.54246186013813,SISMO_DOWN_1,J,3550.912231897649,SISMO_DOWN_1,I
105,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,473870.27173796593,GRAV_DISEÑO,I,325.51445365252374,SISMO_DOWN_1,I,2317.2712098937673,SISMO_DOWN_1,I,2340.0225468442018,SISMO_DOWN_1,I,2.069213316991336,SISMO_DOWN_1,I,3977.4032472661493,SISMO_DOWN_1,I,694.016733400926,SISMO_DOWN_1,J,3992.575939531812,SISMO_DOWN_1,I
106,COLUMNA,Columna_2,ORC 254 x 15.9,3.2,1041472.6858436088,GRAV_DISEÑO,I,15036.58394353388,SISMO_DOWN_1,I,188.37435795328116,SISMO_DOWN_1,I,15037.76384937851,SISMO_DOWN_1,I,9.814038623144677,SISMO_DOWN_1,I,345.7973138949514,SISMO_UP_1,J,25227.186114786506,SISMO_DOWN_1,J,25229.4645284693,SISMO_DOWN_1,J
107,COLUMNA,Columna_2,ORC 254 x 15.9,3.2,779087.3834069711,GRAV_DISEÑO,I,11203.944381889982,SISMO_DOWN_1,J,7450.150976502282,GRAV_DISEÑO,I,12716.147748079287,SISMO_DOWN_1,I,9.814038623145835,SISMO_DOWN_1,I,16005.385211393383,GRAV_DISEÑO,J,18984.633900108573,SISMO_DOWN_1,I,21284.865261697243,SISMO_DOWN_1,J
108,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,342466.5337318909,GRAV_DISEÑO,I,1803.1183629225588,GRAV_DISEÑO,I,2198.357667210162,SISMO_DOWN_1,I,2661.160327737367,SISMO_DOWN_1,I,2.069213316991336,SISMO_DOWN_1,I,3819.4949657093125,SISMO_DOWN_1,I,3874.065798984518,GRAV_DISEÑO,J,4542.702546388703,SISMO_DOWN_1,J
109,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,461081.47693214467,GRAV_DISEÑO,I,335.1216857225103,GRAV_DISEÑO,I,2240.480652170636,SISMO_DOWN_1,I,2261.284943216001,SISMO_DOWN_1,I,2.069213316991336,SISMO_DOWN_1,I,3882.8453191426975,SISMO_DOWN_1,I,698.5494877977586,GRAV_DISEÑO,J,3896.817331792121,SISMO_DOWN_1,I
110,COLUMNA,Columna_2,ORC 254 x 15.9,3.2,992461.2093198819,GRAV_DISEÑO,I,13565.879698731886,SISMO_DOWN_1,I,277.062720891512,SISMO_DOWN_1,I,13568.708698758837,SISMO_DOWN_1,I,9.814038623144677,SISMO_DOWN_1,I,649.0288931208763,SISMO_DOWN_1,J,22119.8949401111,SISMO_DOWN_1,J,22129.414602868696,SISMO_DOWN_1,J
111,COLUMNA,Columna_2,ORC 254 x 15.9,3.2,532930.7138307439,GRAV_DISEÑO,I,10718.95068317666,SISMO_DOWN_1,I,755.5244410086632,SISMO_DOWN_1,I,10745.544236069889,SISMO_DOWN_1,I,9.814038623144794,SISMO_DOWN_1,I,1675.8333755926744,SISMO_DOWN_1,J,18408.141914688003,SISMO_DOWN_1,I,18423.093509030452,SISMO_DOWN_1,I
112,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,211942.22560644994,GRAV_DISEÑO,I,75.49492594940209,SISMO_DOWN_1,I,2136.587467054286,SISMO_DOWN_1,I,2137.920833009856,SISMO_DOWN_1,I,2.069213316991336,SISMO_DOWN_1,I,3747.151339940163,SISMO_DOWN_1,I,150.84443079429568,SISMO_DOWN_1,J,3748.269841177479,SISMO_DOWN_1,I
113,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,365431.6001379031,SISMO_DOWN_1,I,65.68278152493757,SISMO_UP_1,I,1838.0882048656135,SISMO_DOWN_1,I,1839.230314355948,SISMO_DOWN_1,I,2.069213316991336,SISMO_DOWN_1,I,3438.9323822679326,SISMO_DOWN_1,I,142.25823347676598,SISMO_UP_1,J,3439.668664502652,SISMO_DOWN_1,I
114,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,496280.59350952436,SISMO_DOWN_1,I,2459.6685246374095,SISMO_DOWN_1,I,279.4279097985781,SISMO_DOWN_1,I,2475.489690519105,SISMO_DOWN_1,I,2.069213316991336,SISMO_DOWN_1,I,576.3981787292284,SISMO_DOWN_1,J,4086.0690489852036,SISMO_DOWN_1,I,4098.407509387968,SISMO_DOWN_1,I
115,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,452527.4703778157,SISMO_DOWN_1,I,2559.026132512352,SISMO_DOWN_1,J,191.44146329694047,SISMO_UP_1,I,2566.0838741242396,SISMO_DOWN_1,J,2.06921331699131,SISMO_DOWN_1,I,389.85280812148574,SISMO_UP_1,J,4210.708705040023,SISMO_DOWN_1,I,4216.80554750906,SISMO_DOWN_1,I
116,COLUMNA,Columna_1,ORC 178 x 9.5,3.2,315488.65914021904,SISMO_DOWN_1,I,122.33943577125957,SISMO_DOWN_1,I,1866.6807565057868,SISMO_DOWN_1,I,1870.6854316677206,SISMO_DOWN_1,I,2.069213316991336,SISMO_DOWN_1,I,3469.113604824015,SISMO_DOWN_1,I,294.14462820278,SISMO_DOWN_1,J,3470.4954169017215,SISMO_DOWN_1,I
117,VIGA,Viga_1,IR 356 x 44.6,3.16,0.0,,,3.530552798417788e-15,GRAV_DISEÑO,I,2962.3949567898594,SISMO_DOWN_1,J,2962.3949567898594,SISMO_DOWN_1,J,0.20416045088376944,SISMO_DOWN_1,I,5210.909262737107,SISMO_DOWN_1,I,5.578273421500106e-15,GRAV_DISEÑO,I,5210.909262737107,SISMO_DOWN_1,I
