nodo,x_m,y_m,z_m,max_abs_Rx_N,combo_Rx,max_abs_Ry_N,combo_Ry,max_abs_Rz_N,combo_Rz,max_abs_Mx_Nm,combo_Mx,max_abs_My_Nm,combo_My,max_abs_Mz_Nm,combo_Mz,max_P_compresion_N,combo_P_compresion,max_levantamiento_N,combo_levantamiento,max_V_horizontal_N,combo_V_horizontal,max_M_resultante_Nm,combo_M_resultante
6,6.32,6.2,0.0,15042.250645456721,SISMO_DOWN_1,184.52018829171737,SISMO_DOWN_1,1041472.6858436088,GRAV_DISEÑO,263.9997706309123,SISMO_DOWN_1,22925.867804425554,SISMO_DOWN_1,9.814038623144677,SISMO_DOWN_1,1041472.6858436088,GRAV_DISEÑO,0.0,GRAV_DISEÑO,15043.382338444713,SISMO_DOWN_1,22927.387781099034,SISMO_DOWN_1
10,6.32,12.3,0.0,13570.59841702729,SISMO_DOWN_1,280.7352193690043,SISMO_DOWN_1,992461.2093198819,GRAV_DISEÑO,237.6961487748993,SISMO_DOWN_1,21326.862536376633,SISMO_DOWN_1,9.814038623144677,SISMO_DOWN_1,992461.2093198819,GRAV_DISEÑO,0.0,GRAV_DISEÑO,13573.50189374937,SISMO_DOWN_1,21328.18710309546,SISMO_DOWN_1
7,11.620000000000001,6.2,0.0,11199.829570748,SISMO_DOWN_1,7455.621089864153,GRAV_DISEÑO,779087.3834069711,GRAV_DISEÑO,7835.097913413919,GRAV_DISEÑO,18984.633900108573,SISMO_DOWN_1,9.81403862314933,SISMO_DOWN_1,779087.3834069711,GRAV_DISEÑO,0.0,GRAV_DISEÑO,12714.116115813362,SISMO_DOWN_1,20005.3317721174,SISMO_DOWN_1
2,6.32,0.0,0.0,135840.02437156992,SISMO_DOWN_1,275.47171108702895,SISMO_DOWN_1,635748.0011936737,SISMO_DOWN_1,272.78242055107694,SISMO_DOWN_1,4151.354789145017,SISMO_DOWN_1,2.069213316991336,SISMO_DOWN_1,635748.0011936737,SISMO_DOWN_1,0.0,GRAV_DISEÑO,135840.30368757396,SISMO_DOWN_1,4160.307300466995,SISMO_DOWN_1
14,6.32,18.5,0.0,134273.70056269263,SISMO_DOWN_1,277.2812258565175,SISMO_DOWN_1,627085.2653518568,SISMO_DOWN_1,317.779546120964,SISMO_DOWN_1,4086.0690489852036,SISMO_DOWN_1,2.069213316991336,SISMO_DOWN_1,627085.2653518568,SISMO_DOWN_1,0.0,GRAV_DISEÑO,134273.98686148354,SISMO_DOWN_1,4098.407509387968,SISMO_DOWN_1
15,11.620000000000001,18.5,0.0,120900.93416747589,SISMO_DOWN_1,190.81185795207736,SISMO_UP_1,588623.7647434686,SISMO_DOWN_1,226.67427468363414,SISMO_DOWN_1,4210.708705040023,SISMO_DOWN_1,2.0692133169911906,SISMO_DOWN_1,588623.7647434686,SISMO_DOWN_1,0.0,GRAV_DISEÑO,120901.08127525612,SISMO_DOWN_1,4216.80554750906,SISMO_DOWN_1
3,11.620000000000001,0.0,0.0,120348.72475274296,SISMO_DOWN_1,310.6585988122813,SISMO_DOWN_1,577566.697249132,SISMO_DOWN_1,348.52548450272155,SISMO_DOWN_1,4310.98120370941,SISMO_DOWN_1,2.0692133169912665,SISMO_DOWN_1,577566.697249132,SISMO_DOWN_1,0.0,GRAV_DISEÑO,120349.12570673914,SISMO_DOWN_1,4325.046699410735,SISMO_DOWN_1
13,0.0,18.5,0.0,127639.67387294827,SISMO_DOWN_1,59912.142384477134,SISMO_DOWN_1,552033.3370819153,SISMO_DOWN_1,71.16594515961565,SISMO_DOWN_1,3438.9323822679326,SISMO_DOWN_1,2.069213316991336,SISMO_DOWN_1,552033.3370819153,SISMO_DOWN_1,0.0,GRAV_DISEÑO,141001.24521255284,SISMO_DOWN_1,3439.668664502652,SISMO_DOWN_1
5,0.0,6.2,0.0,2332.30386044437,SISMO_DOWN_1,59621.25014098103,SISMO_DOWN_1,534704.6560995555,GRAV_DISEÑO,347.744218593239,SISMO_DOWN_1,3977.4032472661493,SISMO_DOWN_1,2.069213316991336,SISMO_DOWN_1,534704.6560995555,GRAV_DISEÑO,0.0,GRAV_DISEÑO,59666.851011854764,SISMO_DOWN_1,3992.575939531812,SISMO_DOWN_1
1,0.0,0.0,0.0,127691.86219262618,SISMO_DOWN_1,56848.096979444155,SISMO_DOWN_1,533411.7434286493,SISMO_DOWN_1,113.43473128374121,SISMO_UP_1,3501.653875705549,SISMO_DOWN_1,2.069213316991336,SISMO_DOWN_1,533411.7434286493,SISMO_DOWN_1,0.0,GRAV_DISEÑO,139774.52486202528,SISMO_DOWN_1,3503.4070601754047,SISMO_DOWN_1
11,11.620000000000001,12.3,0.0,10716.344218491151,SISMO_DOWN_1,757.8144816566175,SISMO_DOWN_1,532930.7138307439,GRAV_DISEÑO,742.0819976165977,SISMO_DOWN_1,18408.141914688003,SISMO_DOWN_1,9.814038623144983,SISMO_DOWN_1,532930.7138307439,GRAV_DISEÑO,0.0,GRAV_DISEÑO,10743.105519252671,SISMO_DOWN_1,18423.093509030452,SISMO_DOWN_1
9,0.0,12.3,0.0,2254.243126923763,SISMO_DOWN_1,56859.54940222093,SISMO_DOWN_1,520548.2681968122,GRAV_DISEÑO,373.8399065142744,GRAV_DISEÑO,3882.8453191426975,SISMO_DOWN_1,2.069213316991336,SISMO_DOWN_1,520548.2681968122,GRAV_DISEÑO,0.0,GRAV_DISEÑO,56904.21750888844,SISMO_DOWN_1,3896.817331792121,SISMO_DOWN_1
16,17.07,18.5,0.0,116151.97438656412,SISMO_DOWN_1,42330.122274639,SISMO_DOWN_1,491102.06365448,SISMO_DOWN_1,97.92464225505756,SISMO_DOWN_1,3469.113604824015,SISMO_DOWN_1,2.069213316991336,SISMO_DOWN_1,491102.06365448,SISMO_DOWN_1,0.0,GRAV_DISEÑO,123624.91822315975,SISMO_DOWN_1,3470.4954169017215,SISMO_DOWN_1
4,17.07,0.0,0.0,116270.18684712354,SISMO_DOWN_1,44709.89786882829,SISMO_DOWN_1,486757.6364097065,SISMO_DOWN_1,231.10420380701308,SISMO_DOWN_1,3543.38376775972,SISMO_DOWN_1,2.069213316991336,SISMO_DOWN_1,486757.6364097065,SISMO_DOWN_1,0.0,GRAV_DISEÑO,124570.1863083863,SISMO_DOWN_1,3550.912231897649,SISMO_DOWN_1
8,17.07,6.2,0.0,2182.5622997459723,SISMO_DOWN_1,47202.08816126896,SISMO_DOWN_1,388628.8340087958,GRAV_DISEÑO,1895.9129623676706,GRAV_DISEÑO,3819.4949657093125,SISMO_DOWN_1,2.069213316991336,SISMO_DOWN_1,388628.8340087958,GRAV_DISEÑO,0.0,GRAV_DISEÑO,47252.52062034871,SISMO_DOWN_1,4137.826379131695,SISMO_DOWN_1
