combo,criterio,nodos_base,x_ref_m,y_ref_m,z_ref_m,sum_Rx_N,sum_Ry_N,sum_Rz_N,sum_Mx_Nm,sum_My_Nm,sum_Mz_Nm,V_horizontal_N,M_volteo_Nm,P_compresion_total_N,levantamiento_total_N,P_compresion_max_nodo_N,levantamiento_max_nodo_N
GRAV_DISEÑO,gravedad_signada,16,8.7525,9.25,0.0,-4.126923158764839e-08,8.707138476893306e-08,8452167.323980961,-965675.6560576898,6605157.884343147,-0.5303294640034437,9.635650222696206e-08,6675375.656081303,8452167.323980961,0.0,1041472.6858436088,0.0
GRAV_SERVICIO,gravedad_signada,16,8.7525,9.25,0.0,1.0898656910285354e-07,-1.766529749147594e-07,6336719.357154691,-724028.1590071442,4944634.974857306,-0.30775866692420095,2.0756768966061572e-07,4997362.485313366,6336719.357154691,0.0,780474.2074544104,0.0
SISMO_DOWN_1,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,1058537.0607209473,414378.9392757983,8636685.667061267,-859917.6326418174,5258409.845301522,-568011.4702234017,1136754.421251608,5328257.917564829,8636685.667061267,0.0,819718.0055829426,0.0
SISMO_DOWN_2,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,1058537.0607209473,414378.9392757983,8636685.667061267,-859917.6326418174,5258409.845301522,-568011.4702234017,1136754.421251608,5328257.917564829,8636685.667061267,0.0,819718.0055829426,0.0
SISMO_DOWN_3,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,1058537.0607209473,414378.9392757983,8636685.667061267,-859917.6326418174,5258409.845301522,-568011.4702234017,1136754.421251608,5328257.917564829,8636685.667061267,0.0,819718.0055829426,0.0
SISMO_DOWN_4,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,1058537.0607209473,414378.9392757983,8636685.667061267,-859917.6326418174,5258409.845301522,-568011.4702234017,1136754.421251608,5328257.917564829,8636685.667061267,0.0,819718.0055829426,0.0
SISMO_DOWN_5,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,562851.5950283634,340489.3753413136,7224583.980556779,-774217.2143750759,5193776.625862799,-590825.649548331,657825.9137083995,5251164.43604592,7224583.980556779,0.0,815862.4038839323,0.0
SISMO_DOWN_6,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,562851.5950283634,340489.3753413136,7224583.980556779,-774217.2143750759,5193776.625862799,-590825.649548331,657825.9137083995,5251164.43604592,7224583.980556779,0.0,815862.4038839323,0.0
SISMO_DOWN_7,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,562851.5950283634,340489.3753413136,7224583.980556779,-774217.2143750759,5193776.625862799,-590825.649548331,657825.9137083995,5251164.43604592,7224583.980556779,0.0,815862.4038839323,0.0
SISMO_DOWN_8,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,562851.5950283634,340489.3753413136,7224583.980556779,-774217.2143750759,5193776.625862799,-590825.649548331,657825.9137083995,5251164.43604592,7224583.980556779,0.0,815862.4038839323,0.0
SISMO_UP_1,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,959416.0413933706,327827.5469755247,6758210.140542033,-649020.8964844053,3758911.5760597917,-394921.46101429977,1013878.7112070732,3814530.6868223944,6758210.140542033,0.0,587082.6726360135,0.0
SISMO_UP_2,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,959416.0413933706,327827.5469755247,6758210.140542033,-649020.8964844053,3758911.5760597917,-394921.46101429977,1013878.7112070732,3814530.6868223944,6758210.140542033,0.0,587082.6726360135,0.0
SISMO_UP_3,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,959416.0413933706,327827.5469755247,6758210.140542033,-649020.8964844053,3758911.5760597917,-394921.46101429977,1013878.7112070732,3814530.6868223944,6758210.140542033,0.0,587082.6726360135,0.0
SISMO_UP_4,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,959416.0413933706,327827.5469755247,6758210.140542033,-649020.8964844053,3758911.5760597917,-394921.46101429977,1013878.7112070732,3814530.6868223944,6758210.140542033,0.0,587082.6726360135,0.0
SISMO_UP_5,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,463730.5757007865,253937.98304104016,5346108.454037548,-563320.4782176632,3694278.356621067,-417735.64033922856,528706.4838553944,3736980.403665268,5346108.454037548,0.0,583227.0709370031,0.0
SISMO_UP_6,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,463730.5757007865,253937.98304104016,5346108.454037548,-563320.4782176632,3694278.356621067,-417735.64033922856,528706.4838553944,3736980.403665268,5346108.454037548,0.0,583227.0709370031,0.0
SISMO_UP_7,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,463730.5757007865,253937.98304104016,5346108.454037548,-563320.4782176632,3694278.356621067,-417735.64033922856,528706.4838553944,3736980.403665268,5346108.454037548,0.0,583227.0709370031,0.0
SISMO_UP_8,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,463730.5757007865,253937.98304104016,5346108.454037548,-563320.4782176632,3694278.356621067,-417735.64033922856,528706.4838553944,3736980.403665268,5346108.454037548,0.0,583227.0709370031,0.0
