claro_id,nivel_m,direccion,grupo,perfil,elementos,nodos,nodo_i,nodo_j,nodo_critico,longitud_m,delta_max_m,delta_adm_m,ratio,uz_critico_m,uz_cuerda_m,nodos_intermedios,estado,metodo
DV-0036,3.2,Y,Viga_1,IR 203 x 31.3,"149, 150","33, 34, 35",33,35,34,6.1000000000000005,0.008575993579979768,0.025416666666666667,0.337416140851663,-0.0143535752417737,-0.0057775816617939325,1,Cumple,delta_nodal_local_vs_cuerda
DV-0062,6.4,Y,Viga_1,IR 203 x 31.3,"249, 250","54, 55, 56",54,56,55,6.1000000000000005,0.008571824712768693,0.025416666666666667,0.3372521198466371,-0.014924665958931483,-0.00635284124616279,1,Cumple,delta_nodal_local_vs_cuerda
DV-0088,9.6,Y,Viga_1,IR 203 x 31.3,"349, 350","75, 76, 77",75,77,76,6.1000000000000005,0.00856770322797093,0.025416666666666667,0.3370899630677087,-0.015229886172358683,-0.006662182944387752,1,Cumple,delta_nodal_local_vs_cuerda
DV-0010,12.8,Y,Viga_2,IR 203 x 31.3,"449, 450","96, 97, 98",96,98,97,6.1000000000000005,0.008561676509357265,0.025416666666666667,0.33685284626979406,-0.015990887088942956,-0.00742921057958569,1,Cumple,delta_nodal_local_vs_cuerda
DV-0024,12.8,X,Viga_2,IR 203 x 31.3,"430, 431","85, 96, 86",85,86,96,5.300000000000001,0.005582319309267301,0.022083333333333337,0.25278427060833053,-0.007690598097764885,-0.002108278788497584,1,Cumple,delta_nodal_local_vs_cuerda
DV-0050,3.2,X,Viga_1,IR 203 x 31.3,"130, 131","22, 33, 23",22,23,33,5.299999999999999,0.0051497005877765446,0.02208333333333333,0.23319398888044734,-0.005994198757060766,-0.0008444981692842216,1,Cumple,delta_nodal_local_vs_cuerda
DV-0076,6.4,X,Viga_1,IR 203 x 31.3,"230, 231","43, 54, 44",43,44,54,5.300000000000001,0.0051040432878217135,0.022083333333333337,0.23112648850513415,-0.006581326924103489,-0.0014772836362817753,1,Cumple,delta_nodal_local_vs_cuerda
DV-0102,9.6,X,Viga_1,IR 203 x 31.3,"330, 331","64, 75, 65",64,65,75,5.300000000000001,0.004996760885853283,0.022083333333333337,0.22626841747260149,-0.006895263678353792,-0.0018985027925005084,1,Cumple,delta_nodal_local_vs_cuerda
DV-0018,12.8,X,Viga_2,IR 203 x 31.3,"437, 438","89, 98, 90",89,90,98,5.300000000000001,0.00474487126766057,0.022083333333333337,0.21486209513934654,-0.006627622190502825,-0.001882750922842255,1,Cumple,delta_nodal_local_vs_cuerda
DV-0044,3.2,X,Viga_1,IR 203 x 31.3,"137, 138","26, 35, 27",26,27,35,5.299999999999999,0.004358934129023531,0.02208333333333333,0.19738569640861273,-0.005113289236308978,-0.0007543551072854473,1,Cumple,delta_nodal_local_vs_cuerda
DV-0070,6.4,X,Viga_1,IR 203 x 31.3,"237, 238","47, 56, 48",47,48,56,5.300000000000001,0.0043326372487593,0.022083333333333337,0.19619489428343997,-0.0056521518338113145,-0.0013195145850520141,1,Cumple,delta_nodal_local_vs_cuerda
DV-0096,9.6,X,Viga_1,IR 203 x 31.3,"337, 338","68, 77, 69",68,69,77,5.300000000000001,0.0042517886736523755,0.022083333333333337,0.1925338267314283,-0.005947402026891896,-0.0016956133532395204,1,Cumple,delta_nodal_local_vs_cuerda
DV-0026,12.8,X,Viga_2,IR 203 x 31.3,"451, 454","97, 99, 100",97,100,99,9.25,0.004842836321304391,0.03854166666666667,0.12565196941762743,-0.00668768676464822,-0.01153052308595261,1,Cumple,delta_nodal_local_vs_cuerda
DV-0104,9.6,X,Viga_1,IR 203 x 31.3,"351, 354","76, 78, 79",76,79,78,9.25,0.00477625754581005,0.03854166666666667,0.12392452010750399,-0.0058388083280555515,-0.010615065873865601,1,Cumple,delta_nodal_local_vs_cuerda
DV-0078,6.4,X,Viga_1,IR 203 x 31.3,"251, 254","55, 57, 58",55,58,57,9.25,0.004735496581008545,0.03854166666666667,0.12286693831805953,-0.005634358186729222,-0.010369854767737767,1,Cumple,delta_nodal_local_vs_cuerda
DV-0052,3.2,X,Viga_1,IR 203 x 31.3,"151, 154","34, 36, 37",34,37,36,9.25,0.0046933603277192395,0.03854166666666667,0.12177367336785053,-0.0051751837935595825,-0.009868544121278822,1,Cumple,delta_nodal_local_vs_cuerda
DV-0004,12.8,Y,Viga_2,IR 203 x 31.3,"426, 427","83, 128, 87",83,87,128,6.2,0.0006272781222136761,0.025833333333333333,0.024281733763110044,-0.0007399757462718891,-0.0013672538684855653,1,Cumple,delta_nodal_local_vs_cuerda
DV-0014,12.8,X,Viga_2,IR 203 x 31.3,"417, 418","80, 125, 81",80,81,125,6.32,0.0003350591633117675,0.026333333333333334,0.012723765695383575,-0.002055564678851022,-0.0017205055155392545,1,Cumple,delta_nodal_local_vs_cuerda
DV-0006,12.8,Y,Viga_2,IR 203 x 31.3,"442, 443","91, 130, 95",91,95,130,6.199999999999999,0.00032544599214565724,0.02583333333333333,0.012597909373380282,-0.0014164831244602102,-0.001091037132314553,1,Cumple,delta_nodal_local_vs_cuerda
DV-0020,12.8,X,Viga_2,IR 203 x 31.3,"444, 445","92, 131, 93",92,93,131,6.32,0.0003198432900298606,0.026333333333333334,0.012145947722652933,-0.002080217777222905,-0.0017603744871930445,1,Cumple,delta_nodal_local_vs_cuerda
DV-0011,12.8,Y,Viga_2,IR 203 x 31.3,"419, 420","80, 127, 84",80,84,127,6.2,0.0002861615176786936,0.025833333333333333,0.011077220039175236,-0.0020583995178865095,-0.001772238000207816,1,Cumple,delta_nodal_local_vs_cuerda
DV-0066,6.4,X,Viga_1,IR 203 x 31.3,"217, 218","38, 109, 39",38,39,109,6.32,0.00027764590778905744,0.026333333333333334,0.01054351548566041,-0.0014738253079501543,-0.0011961794001610969,1,Cumple,delta_nodal_local_vs_cuerda
DV-0072,6.4,X,Viga_1,IR 203 x 31.3,"244, 245","50, 115, 51",50,51,115,6.32,0.0002714393995355139,0.026333333333333334,0.010307825298816983,-0.0014955390603156626,-0.0012240996607801487,1,Cumple,delta_nodal_local_vs_cuerda
DV-0058,6.4,Y,Viga_1,IR 203 x 31.3,"242, 243","49, 114, 53",49,53,114,6.199999999999999,0.00026524493484321844,0.02583333333333333,0.01026754586489878,-0.0010239833863006527,-0.0007587384514574343,1,Cumple,delta_nodal_local_vs_cuerda
DV-0013,12.8,Y,Viga_2,IR 203 x 31.3,"435, 436","88, 129, 92",88,92,129,6.199999999999999,0.0002634501631534063,0.02583333333333333,0.010198070831744762,-0.002050812261092745,-0.0017873620979393387,1,Cumple,delta_nodal_local_vs_cuerda
DV-0063,6.4,Y,Viga_1,IR 203 x 31.3,"219, 220","38, 111, 42",38,42,111,6.2,0.0002472304595136951,0.025833333333333333,0.009570211336014003,-0.0014791431198512073,-0.0012319126603375123,1,Cumple,delta_nodal_local_vs_cuerda
DV-0065,6.4,Y,Viga_1,IR 203 x 31.3,"235, 236","46, 113, 50",46,50,113,6.199999999999999,0.00023813762967848364,0.02583333333333333,0.009218230826263885,-0.0014804098783238232,-0.0012422722486453396,1,Cumple,delta_nodal_local_vs_cuerda
DV-0022,12.8,X,Viga_2,IR 203 x 31.3,"447, 448","94, 132, 95",94,95,132,5.449999999999999,0.0001615115072234421,0.02270833333333333,0.007112433345619469,-0.0016656193669059253,-0.0015041078596824832,1,Cumple,delta_nodal_local_vs_cuerda
DV-0016,12.8,X,Viga_2,IR 203 x 31.3,"423, 424","82, 126, 83",82,83,126,5.449999999999999,0.00014954356247004865,0.02270833333333333,0.006585404585837005,-0.0015946719937601278,-0.0014451284312900791,1,Cumple,delta_nodal_local_vs_cuerda
DV-0056,6.4,Y,Viga_1,IR 203 x 31.3,"226, 227","41, 112, 45",41,45,112,6.2,0.0001691264732192558,0.025833333333333333,0.006546831221390547,-0.0007821649394144882,-0.000951291412633744,1,Cumple,delta_nodal_local_vs_cuerda
DV-0074,6.4,X,Viga_1,IR 203 x 31.3,"247, 248","52, 116, 53",52,53,116,5.449999999999999,0.0001464085519977587,0.02270833333333333,0.0064473490788003835,-0.001190197073837082,-0.0010437885218393234,1,Cumple,delta_nodal_local_vs_cuerda
DV-0068,6.4,X,Viga_1,IR 203 x 31.3,"223, 224","40, 110, 41",40,41,110,5.449999999999999,0.0001413978485123922,0.02270833333333333,0.0062266942464172725,-0.0011442307385702837,-0.0010028328900578915,1,Cumple,delta_nodal_local_vs_cuerda
DV-0039,3.2,Y,Viga_1,IR 203 x 31.3,"135, 136","25, 105, 29",25,29,105,6.199999999999999,8.37241293745732e-05,0.02583333333333333,0.0032409340403060597,-0.0006351174448265442,-0.0007188415742011174,1,Cumple,delta_nodal_local_vs_cuerda
DV-0037,3.2,Y,Viga_1,IR 203 x 31.3,"119, 120","17, 103, 21",17,21,103,6.2,8.353864340346351e-05,0.025833333333333333,0.0032337539381985876,-0.0006300234432890495,-0.000713562086692513,1,Cumple,delta_nodal_local_vs_cuerda
DV-0042,3.2,X,Viga_1,IR 203 x 31.3,"123, 124","19, 102, 20",19,20,102,5.450000000000001,7.335601593826005e-05,0.022708333333333337,0.003230356665171084,-0.0005125835314955154,-0.0005859395474337755,1,Cumple,delta_nodal_local_vs_cuerda
DV-0048,3.2,X,Viga_1,IR 203 x 31.3,"147, 148","31, 108, 32",31,32,108,5.450000000000001,7.324735039319159e-05,0.022708333333333337,0.0032255713934616474,-0.0005330591526247597,-0.0006063065030179513,1,Cumple,delta_nodal_local_vs_cuerda
DV-0091,9.6,Y,Viga_1,IR 203 x 31.3,"335, 336","67, 121, 71",67,71,121,6.199999999999999,8.265385238342645e-05,0.02583333333333333,0.0031995039632294114,-0.0015301056561918757,-0.0016127595085753022,1,Cumple,delta_nodal_local_vs_cuerda
DV-0094,9.6,X,Viga_1,IR 203 x 31.3,"323, 324","61, 118, 62",61,62,118,5.449999999999999,7.247893352741982e-05,0.02270833333333333,0.0031917328525836253,-0.0012360834225522185,-0.0013085623560796383,1,Cumple,delta_nodal_local_vs_cuerda
DV-0100,9.6,X,Viga_1,IR 203 x 31.3,"347, 348","73, 124, 74",73,74,124,5.449999999999999,7.242475744677129e-05,0.02270833333333333,0.003189347116922039,-0.0012860552428650537,-0.001358480000311825,1,Cumple,delta_nodal_local_vs_cuerda
