elemento,grupo,perfil,combo_momento,extremo_momento,combo_cortante,extremo_cortante,eje_flexion,inciso_ntc,clasificacion_patin,clasificacion_alma,material,Fy_kg_cm2,E_kg_cm2,d_mm,h_mm,bf_mm,tf_mm,tw_mm,Ix_cm4,Iy_cm4,Sx_cm3,Zx_cm3,ry_cm,J_cm4,Cw_cm6,lambda_f,lambda_f_p,lambda_f_r,lambda_w,lambda_w_p,lambda_w_r,Lb_m,Cb,Lu_m,Lr_m,Mu_Nm,Vu_N,Mp_Nm,My_Nm,Mn_control_Nm,MR_Nm,estado_limite_control,utilizacion_flexion,Vn_N,VR_N,Cv,utilizacion_cortante,utilizacion_flexion_cortante,estado,demanda_control,Mu_modelo_Nm,Vu_modelo_N,Mu_local_Nm,Vu_local_N,local_claro_id,local_longitud_m,local_w_diseno_N_m,local_w_servicio_N_m,local_delta_mm,local_delta_adm_mm,local_deflexion_ratio,local_deflexion_estado,local_metodo,deflexion_claro_id,deflexion_ratio,deflexion_delta_mm,deflexion_adm_mm,deflexion_estado,alertas
132,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,VL-0034,GRAV_DISEÑO,VL-0034,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.3564650060160899,4.511808457847832,67959.16283221878,44563.385463750004,115515.2025,103101.6285,49573.83066618929,44616.44759957036,PLT,1.523186324517535,279388.17216,251449.35494400002,1.0,0.17722608782859936,1.5545954107245654,No cumple,local_gravitacional,1459.7771776688994,1290.0306346170787,67959.16283221878,44563.385463750004,VL-0034,6.1000000000000005,14610.946053688525,10941.716176229507,31.457179959137708,25.416666666666668,1.2376595393759098,No cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0034,1.2376595393759098,31.457179959137708,25.416666666666668,No cumple,Demanda controlada por revision gravitacional local de claro fisico.
232,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,VL-0060,GRAV_DISEÑO,VL-0060,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.3564650060160899,4.511808457847832,67959.16283221878,44563.385463750004,115515.2025,103101.6285,49573.83066618929,44616.44759957036,PLT,1.523186324517535,279388.17216,251449.35494400002,1.0,0.17722608782859936,1.5545954107245654,No cumple,local_gravitacional,1597.657692531556,1335.8540607864848,67959.16283221878,44563.385463750004,VL-0060,6.1000000000000005,14610.946053688525,10941.716176229507,31.457179959137708,25.416666666666668,1.2376595393759098,No cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0060,1.2376595393759098,31.457179959137708,25.416666666666668,No cumple,Demanda controlada por revision gravitacional local de claro fisico.
332,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,VL-0086,GRAV_DISEÑO,VL-0086,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.3564650060160899,4.511808457847832,67959.16283221878,44563.385463750004,115515.2025,103101.6285,49573.83066618929,44616.44759957036,PLT,1.523186324517535,279388.17216,251449.35494400002,1.0,0.17722608782859936,1.5545954107245654,No cumple,local_gravitacional,1698.0447443255125,1369.0217372113295,67959.16283221878,44563.385463750004,VL-0086,6.1000000000000005,14610.946053688525,10941.716176229507,31.457179959137708,25.416666666666668,1.2376595393759098,No cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0086,1.2376595393759098,31.457179959137708,25.416666666666668,No cumple,Demanda controlada por revision gravitacional local de claro fisico.
432,Viga_2,IR 203 x 31.3,GRAV_DISEÑO,VL-0008,GRAV_DISEÑO,VL-0008,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.3564650060160899,4.511808457847832,67959.16283221878,44563.385463750004,115515.2025,103101.6285,49573.83066618929,44616.44759957036,PLT,1.523186324517535,279388.17216,251449.35494400002,1.0,0.17722608782859936,1.5545954107245654,No cumple,local_gravitacional,1750.704659416741,1385.5467314728053,67959.16283221878,44563.385463750004,VL-0008,6.1000000000000005,14610.946053688525,10941.716176229507,31.457179959137708,25.416666666666668,1.2376595393759098,No cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0008,1.2376595393759098,31.457179959137708,25.416666666666668,No cumple,Demanda controlada por revision gravitacional local de claro fisico.
134,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,VL-0043,GRAV_DISEÑO,VL-0043,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.32,1.0,1.3564650060160899,4.511808457847832,63911.12106098252,40450.076620875014,115515.2025,103101.6285,47535.73224100339,42782.15901690305,PLT,1.4938732062524358,279388.17216,251449.35494400002,1.0,0.16086768896219122,1.519751619604472,No cumple,local_gravitacional,6781.937646833396,2717.585387521704,63911.12106098252,40450.076620875014,VL-0043,6.32,12800.65715850475,9587.078227452532,31.75920231462296,26.333333333333332,1.2060456575173275,No cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0043,1.2060456575173275,31.75920231462296,26.333333333333332,No cumple,Demanda controlada por revision gravitacional local de claro fisico.
234,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,VL-0069,GRAV_DISEÑO,VL-0069,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.32,1.0,1.3564650060160899,4.511808457847832,63911.12106098252,40450.076620875014,115515.2025,103101.6285,47535.73224100339,42782.15901690305,PLT,1.4938732062524358,279388.17216,251449.35494400002,1.0,0.16086768896219122,1.519751619604472,No cumple,local_gravitacional,6463.735911505836,2642.054649960193,63911.12106098252,40450.076620875014,VL-0069,6.32,12800.65715850475,9587.078227452532,31.75920231462296,26.333333333333332,1.2060456575173275,No cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0069,1.2060456575173275,31.75920231462296,26.333333333333332,No cumple,Demanda controlada por revision gravitacional local de claro fisico.
334,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,VL-0095,GRAV_DISEÑO,VL-0095,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.32,1.0,1.3564650060160899,4.511808457847832,63911.12106098252,40450.076620875014,115515.2025,103101.6285,47535.73224100339,42782.15901690305,PLT,1.4938732062524358,279388.17216,251449.35494400002,1.0,0.16086768896219122,1.519751619604472,No cumple,local_gravitacional,5682.234582930399,2441.901458116984,63911.12106098252,40450.076620875014,VL-0095,6.32,12800.65715850475,9587.078227452532,31.75920231462296,26.333333333333332,1.2060456575173275,No cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0095,1.2060456575173275,31.75920231462296,26.333333333333332,No cumple,Demanda controlada por revision gravitacional local de claro fisico.
434,Viga_2,IR 203 x 31.3,GRAV_DISEÑO,VL-0017,GRAV_DISEÑO,VL-0017,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.32,1.0,1.3564650060160899,4.511808457847832,63911.12106098252,40450.076620875014,115515.2025,103101.6285,47535.73224100339,42782.15901690305,PLT,1.4938732062524358,279388.17216,251449.35494400002,1.0,0.16086768896219122,1.519751619604472,No cumple,local_gravitacional,6498.18122808783,2498.2583574124333,63911.12106098252,40450.076620875014,VL-0017,6.32,12800.65715850475,9587.078227452532,31.75920231462296,26.333333333333332,1.2060456575173275,No cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0017,1.2060456575173275,31.75920231462296,26.333333333333332,No cumple,Demanda controlada por revision gravitacional local de claro fisico.
128,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,VL-0049,GRAV_DISEÑO,VL-0049,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.32,1.0,1.3564650060160899,4.511808457847832,63911.121060982514,40450.07662087501,115515.2025,103101.6285,47535.73224100339,42782.15901690305,PLT,1.4938732062524356,279388.17216,251449.35494400002,1.0,0.1608676889621912,1.5197516196044718,No cumple,local_gravitacional,7103.7497637267,2794.2749816212036,63911.121060982514,40450.07662087501,VL-0049,6.32,12800.657158504748,9587.078227452532,31.75920231462296,26.333333333333332,1.2060456575173275,No cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0049,1.2060456575173275,31.75920231462296,26.333333333333332,No cumple,Demanda controlada por revision gravitacional local de claro fisico.
228,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,VL-0075,GRAV_DISEÑO,VL-0075,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.32,1.0,1.3564650060160899,4.511808457847832,63911.121060982514,40450.07662087501,115515.2025,103101.6285,47535.73224100339,42782.15901690305,PLT,1.4938732062524356,279388.17216,251449.35494400002,1.0,0.1608676889621912,1.5197516196044718,No cumple,local_gravitacional,6753.46046626693,2711.9665273491864,63911.121060982514,40450.07662087501,VL-0075,6.32,12800.657158504748,9587.078227452532,31.75920231462296,26.333333333333332,1.2060456575173275,No cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0075,1.2060456575173275,31.75920231462296,26.333333333333332,No cumple,Demanda controlada por revision gravitacional local de claro fisico.
