elemento,grupo,perfil,combo_momento,extremo_momento,combo_cortante,extremo_cortante,eje_flexion,inciso_ntc,clasificacion_patin,clasificacion_alma,material,Fy_kg_cm2,E_kg_cm2,d_mm,h_mm,bf_mm,tf_mm,tw_mm,Ix_cm4,Iy_cm4,Sx_cm3,Zx_cm3,ry_cm,J_cm4,Cw_cm6,lambda_f,lambda_f_p,lambda_f_r,lambda_w,lambda_w_p,lambda_w_r,Lb_m,Cb,Lu_m,Lr_m,Mu_Nm,Vu_N,Mp_Nm,My_Nm,Mn_control_Nm,MR_Nm,estado_limite_control,utilizacion_flexion,Vn_N,VR_N,Cv,utilizacion_cortante,utilizacion_flexion_cortante,estado,deflexion_claro_id,deflexion_ratio,deflexion_delta_mm,deflexion_adm_mm,deflexion_estado,alertas
330,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,I,GRAV_DISEÑO,I,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,1.5,1.0,1.3564650060160899,4.511808457847832,71055.30625527265,76121.76812023658,115515.2025,103101.6285,113543.50279366825,102189.15251430143,PLT,0.6953312020601053,279388.17216,251449.35494400002,1.0,0.3027320079512217,0.786977870698284,Cumple,DV-0102,0.22626841747260149,4.996760885853283,22.083333333333336,Cumple,
130,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,I,GRAV_DISEÑO,I,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,1.5,1.0,1.3564650060160899,4.511808457847832,70731.87402508617,76185.53887578905,115515.2025,103101.6285,113543.50279366825,102189.15251430143,PLT,0.6921661671984921,279388.17216,251449.35494400002,1.0,0.30298562067401696,0.7839664535337114,Cumple,DV-0050,0.23319398888044734,5.149700587776545,22.08333333333333,Cumple,
230,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,I,GRAV_DISEÑO,I,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,1.5,1.0,1.3564650060160899,4.511808457847832,70719.91574601815,76116.86289397057,115515.2025,103101.6285,113543.50279366825,102189.15251430143,PLT,0.692049146176458,279388.17216,251449.35494400002,1.0,0.3027125001411217,0.7836840039181465,Cumple,DV-0076,0.23112648850513415,5.104043287821714,22.083333333333336,Cumple,
430,Viga_2,IR 203 x 31.3,GRAV_DISEÑO,I,GRAV_DISEÑO,I,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,1.5,1.0,1.3564650060160899,4.511808457847832,67824.76695396629,75449.49214086698,115515.2025,103101.6285,113543.50279366825,102189.15251430143,PLT,0.6637178730342653,279388.17216,251449.35494400002,1.0,0.3000584040379433,0.753752918868063,Cumple,DV-0024,0.25278427060833053,5.582319309267301,22.083333333333336,Cumple,
431,Viga_2,IR 203 x 31.3,GRAV_DISEÑO,I,GRAV_DISEÑO,J,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,3.8000000000000007,1.0,1.3564650060160899,4.511808457847832,44852.71919045048,20793.263612711213,115515.2025,103101.6285,81949.05186087766,73754.1466747899,PLT,0.6081382703568274,279388.17216,251449.35494400002,1.0,0.0826936446798285,0.6149765092272612,Cumple,DV-0024,0.25278427060833053,5.582319309267301,22.083333333333336,Cumple,
131,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,I,GRAV_DISEÑO,J,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,3.799999999999999,1.0,1.3564650060160899,4.511808457847832,43050.25426295842,20094.084888732294,115515.2025,103101.6285,81949.05186087769,73754.14667478992,PLT,0.5836994420501312,279388.17216,251449.35494400002,1.0,0.0799130500581615,0.5900855376197295,Cumple,DV-0050,0.23319398888044734,5.149700587776545,22.08333333333333,Cumple,
231,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,I,GRAV_DISEÑO,J,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,3.8000000000000007,1.0,1.3564650060160899,4.511808457847832,42959.42626134396,20152.471669197545,115515.2025,103101.6285,81949.05186087766,73754.1466747899,PLT,0.5824679451688108,279388.17216,251449.35494400002,1.0,0.08014525101361138,0.5888912064288456,Cumple,DV-0076,0.23112648850513415,5.104043287821714,22.083333333333336,Cumple,
137,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,I,GRAV_DISEÑO,I,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,1.5,1.0,1.3564650060160899,4.511808457847832,59319.56514901961,64121.553357641336,115515.2025,103101.6285,113543.50279366825,102189.15251430143,PLT,0.580487886331358,279388.17216,251449.35494400002,1.0,0.25500782601697974,0.6455168776612642,Cumple,DV-0044,0.19738569640861273,4.358934129023531,22.08333333333333,Cumple,
337,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,I,GRAV_DISEÑO,I,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,1.5,1.0,1.3564650060160899,4.511808457847832,59178.660944288014,63917.721658341405,115515.2025,103101.6285,113543.50279366825,102189.15251430143,PLT,0.579109029561684,279388.17216,251449.35494400002,1.0,0.2541971987662344,0.6437252454222845,Cumple,DV-0096,0.1925338267314283,4.251788673652375,22.083333333333336,Cumple,
237,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,I,GRAV_DISEÑO,I,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,1.5,1.0,1.3564650060160899,4.511808457847832,59077.763114586705,63979.40309447336,115515.2025,103101.6285,113543.50279366825,102189.15251430143,PLT,0.5781216661555025,279388.17216,251449.35494400002,1.0,0.25444250238272487,0.6428626531742855,Cumple,DV-0070,0.19619489428343997,4.3326372487593,22.083333333333336,Cumple,
