elemento,tipo,grupo,perfil,combo,tipo_combo,metodo,tipo_valor,extremo,nodo,longitud_m,P_N,Vy_N,Vz_N,T_Nm,My_Nm,Mz_Nm,V_resultante_N,M_resultante_Nm
101,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,1,3.2,298735.50285006536,1.4887030427762382,27.881423818497225,-1.7960728546418125,-106.71948902069138,-40.77098773732519,27.921139498527555,114.24238608290091
101,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,17,3.2,-296450.57334606536,-1.4887030427762382,-27.881423818497225,1.7960728546418125,17.49893280150026,45.534837474209155,27.921139498527555,48.781493140268516
102,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,2,3.2,477299.7369647503,-180.2357221444064,-239.89872166974376,-1.7960728546418125,202.00452411751573,-115.27213333973918,300.0605142228695,232.58007758326724
102,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,18,3.2,-475014.8074607503,180.2357221444064,239.89872166974376,1.7960728546418125,565.6713852256643,-461.4821775223614,300.0605142228695,730.0341884007229
103,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,3,3.2,399844.5804597065,319.0812182577543,-101.2900618450577,-1.7960728546418525,44.4873925924182,417.3326030892317,334.77231139003754,419.6970689686862
103,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,19,3.2,-397559.6509557065,-319.08121825775555,101.2900618450577,1.7960728546418525,279.6408053117665,603.727295335584,334.77231139003874,665.346246046848
104,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,4,3.2,258216.27386456626,187.80915185024995,0.9041439413828201,-1.7960728546418125,-77.94372381843601,126.83290790029497,187.81132818596694,148.86843389090023
104,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,20,3.2,-255931.34436056626,-187.80915185024995,-0.9041439413828201,1.7960728546418125,75.05046320601099,474.1563780205049,187.81132818596694,480.0592076452245
105,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,5,3.2,502309.3809919357,293.77258835912886,-7.873237048421551,-1.7960728546418125,-57.27157180383696,270.99848993345097,293.87807256214745,276.98414121225926
105,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,21,3.2,-500024.4514879357,-293.77258835912886,7.873237048421551,1.7960728546418125,82.46593035878593,669.0737928157614,293.87807256214745,674.136759050275
106,COLUMNA,Columna_2,ORC 305 x 12.7,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,6,3.2,1033049.6188108398,-12989.865025798035,-120.44812532865741,-8.172122049373746,-117.78877857521991,-13555.74413399948,12990.423439570635,13556.255870365518
106,COLUMNA,Columna_2,ORC 305 x 12.7,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,22,3.2,-1028436.5016268399,12989.865025798035,120.44812532865741,8.172122049373746,503.2227796269236,-28011.823948554233,12990.423439570635,28016.34369597025
107,COLUMNA,Columna_2,ORC 305 x 12.7,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,7,3.2,747957.5561065298,5494.125034208121,-8434.436610296887,-8.172122049375375,8706.283121357063,6160.511930007083,10066.03848714224,10665.424184203199
107,COLUMNA,Columna_2,ORC 305 x 12.7,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,23,3.2,-743344.4389225298,-5494.125034208123,8434.436610296887,8.172122049375375,18283.914031592976,11420.688179458908,10066.038487142241,21557.681480324245
108,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,8,3.2,356705.46780582046,3407.186116033121,102.88447538059147,-1.7960728546418125,-175.41313172811752,3560.83500302869,3408.739128264761,3565.1529680473736
108,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,24,3.2,-354420.53830182046,-3407.186116033121,-102.88447538059147,1.7960728546418125,-153.8171894897752,7342.160568277295,3408.739128264761,7343.771615331491
109,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,9,3.2,486204.9147628866,-301.5425895971398,-28.225586763697578,-1.7960728546418125,-24.43519958355428,-364.0043665532356,302.86072226207233,364.8235982615577
109,COLUMNA,Columna_1,ORC 203 x 9.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,25,3.2,-483919.9852588866,301.5425895971398,28.225586763697578,1.7960728546418125,114.75707722738653,-600.9319201576117,302.86072226207233,611.7911076814427
110,COLUMNA,Columna_2,ORC 305 x 12.7,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,10,3.2,984568.1677937087,-10797.026059380983,-135.546543552366,-8.172122049373746,-101.68379913659743,-11267.567441382238,10797.876855772205,11268.026253124543
110,COLUMNA,Columna_2,ORC 305 x 12.7,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,26,3.2,-979955.0506097088,10797.026059380983,135.546543552366,8.172122049373746,535.4327385041686,-23282.915948636906,10797.876855772205,23289.071756700672
111,COLUMNA,Columna_2,ORC 305 x 12.7,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,11,3.2,512421.6809136187,4736.977617855235,-517.2808128785874,-8.17212204937394,261.3169374442099,5302.036481003057,4765.137604669333,5308.472227268642
