claro_id,nivel_m,direccion,grupo,perfil,elementos,nodos,nodo_i,nodo_j,nodo_critico,longitud_m,delta_max_m,delta_adm_m,ratio,uz_critico_m,uz_cuerda_m,nodos_intermedios,estado,metodo
DV-0024,12.8,X,Viga_2,IR 254 x 38.7,"426, 427","85, 96, 86",85,86,96,5.300000000000001,0.004564855181620015,0.022083333333333337,0.20671042331864214,-0.006799052603682351,-0.0022341974220623367,1,Cumple,delta_nodal_local_vs_cuerda
DV-0018,12.8,X,Viga_2,IR 254 x 38.7,"432, 433","89, 98, 90",89,90,98,5.300000000000001,0.0038891344567923776,0.022083333333333337,0.1761117489868246,-0.005857846756649841,-0.001968712299857463,1,Cumple,delta_nodal_local_vs_cuerda
DV-0010,12.8,Y,Viga_2,IR 254 x 38.7,"441, 442","96, 97, 98",96,98,97,6.1000000000000005,0.004107509481510652,0.025416666666666667,0.16160693042009122,-0.010675118024447304,-0.006567608542936652,1,Cumple,delta_nodal_local_vs_cuerda
DV-0026,12.8,X,Viga_2,IR 254 x 38.7,"443, 446","97, 99, 100",97,100,99,9.25,0.0032874744319738554,0.03854166666666667,0.085296633910673,-0.0043485859640732425,-0.007636060396047098,1,Cumple,delta_nodal_local_vs_cuerda
DV-0076,6.4,X,Viga_1,IR 457 x 59.5,"226, 227","43, 54, 44",43,44,54,5.300000000000001,0.0015570865645075373,0.022083333333333337,0.07050958027958659,-0.003164862017045193,-0.0016077754525376557,1,Cumple,delta_nodal_local_vs_cuerda
DV-0050,3.2,X,Viga_1,IR 457 x 59.5,"126, 127","22, 33, 23",22,23,33,5.299999999999999,0.0015532098773731835,0.02208333333333333,0.07033403218293663,-0.0024806094906473283,-0.0009273996132741449,1,Cumple,delta_nodal_local_vs_cuerda
DV-0102,9.6,X,Viga_1,IR 457 x 59.5,"326, 327","64, 75, 65",64,65,75,5.300000000000001,0.0015096341790223882,0.022083333333333337,0.06836079301233455,-0.0035525699628624063,-0.002042935783840018,1,Cumple,delta_nodal_local_vs_cuerda
DV-0070,6.4,X,Viga_1,IR 457 x 59.5,"232, 233","47, 56, 48",47,48,56,5.300000000000001,0.0013302120540699665,0.022083333333333337,0.060236017542790926,-0.002747574745497215,-0.0014173626914272487,1,Cumple,delta_nodal_local_vs_cuerda
DV-0044,3.2,X,Viga_1,IR 457 x 59.5,"132, 133","26, 35, 27",26,27,35,5.299999999999999,0.0013221587359795754,0.02208333333333333,0.05987133898775437,-0.0021399502176361043,-0.0008177914816565288,1,Cumple,delta_nodal_local_vs_cuerda
DV-0096,9.6,X,Viga_1,IR 457 x 59.5,"332, 333","68, 77, 69",68,69,77,5.300000000000001,0.0012921754643755667,0.022083333333333337,0.05851360593398792,-0.0030927203171381224,-0.0018005448527625557,1,Cumple,delta_nodal_local_vs_cuerda
DV-0088,9.6,Y,Viga_1,IR 457 x 59.5,"341, 342","75, 76, 77",75,77,76,6.1000000000000005,0.0013071776117770705,0.025416666666666667,0.051429938824015885,-0.004746669792903997,-0.0034394921811269265,1,Cumple,delta_nodal_local_vs_cuerda
DV-0062,6.4,Y,Viga_1,IR 457 x 59.5,"241, 242","54, 55, 56",54,56,55,6.1000000000000005,0.001297978498079729,0.025416666666666667,0.0510680064818254,-0.00436022889097378,-0.003062250392894051,1,Cumple,delta_nodal_local_vs_cuerda
DV-0036,3.2,Y,Viga_1,IR 457 x 59.5,"141, 142","33, 34, 35",33,35,34,6.1000000000000005,0.001290232838987848,0.025416666666666667,0.050763259238866154,-0.0036870736559438916,-0.0023968408169560435,1,Cumple,delta_nodal_local_vs_cuerda
DV-0052,3.2,X,Viga_1,IR 457 x 59.5,"143, 146","34, 36, 37",34,37,36,9.25,0.0010573853922288322,0.03854166666666667,0.02743486423080213,-0.0016419425942682342,-0.0026993279864970664,1,Cumple,delta_nodal_local_vs_cuerda
DV-0078,6.4,X,Viga_1,IR 457 x 59.5,"243, 246","55, 57, 58",55,58,57,9.25,0.0009794911585071782,0.03854166666666667,0.025413824653159216,-0.0022339645926326567,-0.003213455751139835,1,Cumple,delta_nodal_local_vs_cuerda
