elemento,grupo,perfil,rol_critico,combo,extremo,material,Fy_kg_cm2,E_kg_cm2,A_cm2,Ix_cm4,Iy_cm4,rx_cm,ry_cm,J_cm4,Cw_cm6,d_mm,h_mm,bf_mm,tf_mm,tw_mm,lambda_f_comp,lambda_f_r_comp,lambda_w_comp,lambda_w_r_comp,clasificacion_compresion,Q_local,Kx,Ky,Kz,L_m,KL_rx,KL_ry,Fe_x_MPa,Fe_y_MPa,Fe_torsional_MPa,Fcr_x_MPa,Fcr_y_MPa,Fcr_torsional_MPa,Pn_fluencia_N,Pn_pandeo_x_N,Pn_pandeo_y_N,Pn_torsional_N,Pn_control_N,PR_N,estado_limite_axial,Lb_m,Cb,MRx_Nm,MRy_Nm,estado_limite_flexion_x,estado_limite_flexion_y,Vy_max_N,Vz_max_N,VRy_N,VRz_N,Pu_N,Mux_Nm,Muy_Nm,M_resultante_Nm,ratio_axial,ratio_mx,ratio_my,ratio_flexion,interaccion_pm,ecuacion_interaccion,utilizacion_cortante_y,utilizacion_cortante_z,utilizacion_control,limite_esbeltez,cumple_esbeltez,p_delta_global,p_delta_local,requisitos_sismicos,dictamen
106,Columna_1,IR 610 x 113.1,interaccion,GRAV_DISEÑO,J,A992,3515.0,2039696.5324550178,144.6,87409.0,3434.0,24.6,4.9,112.00000000000001,2980747.9999999995,608.0,548.0,229.0,17.3,11.2,6.61849710982659,13.487578184819077,48.92857142857143,35.88659195603647,esbelta,0.9526771833988503,1.0,1.0,1.0,3.2,13.008130081300813,65.3061224489796,11666.920434945809,462.89040855814795,727.4368078705388,324.6548662337071,244.08373776559583,271.92719023719246,4750161.700217002,4694509.365739404,3529450.848090516,3932067.170829803,3529450.848090516,3176505.7632814646,pandeo_flexion_y,3.2,1.0,903980.5182653333,145549.15515,PLT,fluencia,10993.683011292738,7306.897143535623,1475365.683474,1267972.102656,1212374.6504865848,2154.808019137852,9700.894381180426,9937.331100157564,0.38166927461644223,0.0023836885592100564,0.06665029674121352,0.06903398530042358,0.44303281710570763,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.007451497031845174,0.00576266396415977,0.44303281710570763,200.0,True,Incluido mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar B1/B2 si el metodo de proyecto lo exige.,"Orientacion_Beta define los ejes fuerte y debil; conexiones, panel de nudo y continuidad requieren revision independiente.",Cumple
206,Columna_1,IR 610 x 113.1,interaccion,SISMO_DOWN_1,I,A992,3515.0,2039696.5324550178,144.6,87409.0,3434.0,24.6,4.9,112.00000000000001,2980747.9999999995,608.0,548.0,229.0,17.3,11.2,6.61849710982659,13.487578184819077,48.92857142857143,35.88659195603647,esbelta,0.9526771833988503,1.0,1.0,1.0,3.2,13.008130081300813,65.3061224489796,11666.920434945809,462.89040855814795,727.4368078705388,324.6548662337071,244.08373776559583,271.92719023719246,4750161.700217002,4694509.365739404,3529450.848090516,3932067.170829803,3529450.848090516,3176505.7632814646,pandeo_flexion_y,3.2,1.0,903980.5182653333,145549.15515,PLT,fluencia,19979.448839276247,6994.919314714975,1475365.683474,1267972.102656,647200.9010476227,13285.478834808338,32132.08902540707,34770.31913869681,0.20374617560241315,0.014696642866045516,0.22076451761119734,0.23546116047724286,0.4130449849155179,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.013542031689547792,0.005516619253738181,0.4130449849155179,200.0,True,Incluido mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar B1/B2 si el metodo de proyecto lo exige.,"Orientacion_Beta define los ejes fuerte y debil; conexiones, panel de nudo y continuidad requieren revision independiente.",Cumple
110,Columna_1,IR 610 x 113.1,interaccion,GRAV_DISEÑO,J,A992,3515.0,2039696.5324550178,144.6,87409.0,3434.0,24.6,4.9,112.00000000000001,2980747.9999999995,608.0,548.0,229.0,17.3,11.2,6.61849710982659,13.487578184819077,48.92857142857143,35.88659195603647,esbelta,0.9526771833988503,1.0,1.0,1.0,3.2,13.008130081300813,65.3061224489796,11666.920434945809,462.89040855814795,727.4368078705388,324.6548662337071,244.08373776559583,271.92719023719246,4750161.700217002,4694509.365739404,3529450.848090516,3932067.170829803,3529450.848090516,3176505.7632814646,pandeo_flexion_y,3.2,1.0,903980.5182653333,145549.15515,PLT,fluencia,8954.73299536312,8243.837113184196,1475365.683474,1267972.102656,1152151.535454269,874.9926534467563,8088.8061443672905,8135.99391498911,0.3627103557539426,0.000967933086794611,0.055574394341424596,0.056542327428219206,0.41297020235680415,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.006069500663915182,0.0065015918693447335,0.41297020235680415,200.0,True,Incluido mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar B1/B2 si el metodo de proyecto lo exige.,"Orientacion_Beta define los ejes fuerte y debil; conexiones, panel de nudo y continuidad requieren revision independiente.",Cumple
107,Columna_1,IR 610 x 113.1,interaccion,GRAV_DISEÑO,J,A992,3515.0,2039696.5324550178,144.6,87409.0,3434.0,24.6,4.9,112.00000000000001,2980747.9999999995,608.0,548.0,229.0,17.3,11.2,6.61849710982659,13.487578184819077,48.92857142857143,35.88659195603647,esbelta,0.9526771833988503,1.0,1.0,1.0,3.2,13.008130081300813,65.3061224489796,11666.920434945809,462.89040855814795,727.4368078705388,324.6548662337071,244.08373776559583,271.92719023719246,4750161.700217002,4694509.365739404,3529450.848090516,3932067.170829803,3529450.848090516,3176505.7632814646,pandeo_flexion_y,3.2,1.0,903980.5182653333,145549.15515,PLT,fluencia,10127.93604933382,12348.920434904705,1475365.683474,1267972.102656,937378.4581300218,26274.132438284563,6108.15853841232,26974.79631276011,0.29509735790992875,0.029064932161040963,0.0419662933262469,0.07103122548728787,0.3582362250097402,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.006864695419433823,0.009739110512792535,0.3582362250097402,200.0,True,Incluido mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar B1/B2 si el metodo de proyecto lo exige.,"Orientacion_Beta define los ejes fuerte y debil; conexiones, panel de nudo y continuidad requieren revision independiente.",Cumple
210,Columna_1,IR 610 x 113.1,interaccion,GRAV_DISEÑO,I,A992,3515.0,2039696.5324550178,144.6,87409.0,3434.0,24.6,4.9,112.00000000000001,2980747.9999999995,608.0,548.0,229.0,17.3,11.2,6.61849710982659,13.487578184819077,48.92857142857143,35.88659195603647,esbelta,0.9526771833988503,1.0,1.0,1.0,3.2,13.008130081300813,65.3061224489796,11666.920434945809,462.89040855814795,727.4368078705388,324.6548662337071,244.08373776559583,271.92719023719246,4750161.700217002,4694509.365739404,3529450.848090516,3932067.170829803,3529450.848090516,3176505.7632814646,pandeo_flexion_y,3.2,1.0,903980.5182653333,145549.15515,PLT,fluencia,16133.437048330492,9431.682054985267,1475365.683474,1267972.102656,848401.7298506028,9758.350691389795,11905.623333321557,15393.806389943924,0.2670864758558373,0.010794868356361589,0.08179795561885511,0.0925928239752167,0.3493912082782521,Pu/PR >= 0.20: Pu/PR + 8/9(Mux/MRx + Muy/MRy),0.010935212353822384,0.007438398711792539,0.3493912082782521,200.0,True,Incluido mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar B1/B2 si el metodo de proyecto lo exige.,"Orientacion_Beta define los ejes fuerte y debil; conexiones, panel de nudo y continuidad requieren revision independiente.",Cumple
207,Columna_1,IR 610 x 113.1,interaccion,SISMO_DOWN_1,I,A992,3515.0,2039696.5324550178,144.6,87409.0,3434.0,24.6,4.9,112.00000000000001,2980747.9999999995,608.0,548.0,229.0,17.3,11.2,6.61849710982659,13.487578184819077,48.92857142857143,35.88659195603647,esbelta,0.9526771833988503,1.0,1.0,1.0,3.2,13.008130081300813,65.3061224489796,11666.920434945809,462.89040855814795,727.4368078705388,324.6548662337071,244.08373776559583,271.92719023719246,4750161.700217002,4694509.365739404,3529450.848090516,3932067.170829803,3529450.848090516,3176505.7632814646,pandeo_flexion_y,3.2,1.0,903980.5182653333,145549.15515,PLT,fluencia,18531.182732487567,17593.391962824317,1475365.683474,1267972.102656,504994.82847425074,27501.15238306478,29714.833243528643,40488.08092620919,0.1589780929446732,0.030422284360549386,0.20415668653593447,0.23457897089648386,0.31406801736882045,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.012560399730087756,0.013875220066728386,0.31406801736882045,200.0,True,Incluido mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar B1/B2 si el metodo de proyecto lo exige.,"Orientacion_Beta define los ejes fuerte y debil; conexiones, panel de nudo y continuidad requieren revision independiente.",Cumple
104,Columna_1,IR 610 x 113.1,interaccion,SISMO_DOWN_1,I,A992,3515.0,2039696.5324550178,144.6,87409.0,3434.0,24.6,4.9,112.00000000000001,2980747.9999999995,608.0,548.0,229.0,17.3,11.2,6.61849710982659,13.487578184819077,48.92857142857143,35.88659195603647,esbelta,0.9526771833988503,1.0,1.0,1.0,3.2,13.008130081300813,65.3061224489796,11666.920434945809,462.89040855814795,727.4368078705388,324.6548662337071,244.08373776559583,271.92719023719246,4750161.700217002,4694509.365739404,3529450.848090516,3932067.170829803,3529450.848090516,3176505.7632814646,pandeo_flexion_y,3.2,1.0,903980.5182653333,145549.15515,PLT,fluencia,2371.2294433905827,62032.87790059519,1475365.683474,1267972.102656,283329.8459072547,207013.95233713827,4077.4209107179654,207054.10361431167,0.08919544525383233,0.22900267002919664,0.028014047257889325,0.25701671728708597,0.30161443991400216,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.0016072147196802887,0.048922904353065774,0.30161443991400216,200.0,True,Incluido mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar B1/B2 si el metodo de proyecto lo exige.,"Orientacion_Beta define los ejes fuerte y debil; conexiones, panel de nudo y continuidad requieren revision independiente.",Cumple
101,Columna_1,IR 610 x 113.1,interaccion,SISMO_DOWN_1,I,A992,3515.0,2039696.5324550178,144.6,87409.0,3434.0,24.6,4.9,112.00000000000001,2980747.9999999995,608.0,548.0,229.0,17.3,11.2,6.61849710982659,13.487578184819077,48.92857142857143,35.88659195603647,esbelta,0.9526771833988503,1.0,1.0,1.0,3.2,13.008130081300813,65.3061224489796,11666.920434945809,462.89040855814795,727.4368078705388,324.6548662337071,244.08373776559583,271.92719023719246,4750161.700217002,4694509.365739404,3529450.848090516,3932067.170829803,3529450.848090516,3176505.7632814646,pandeo_flexion_y,3.2,1.0,903980.5182653333,145549.15515,PLT,fluencia,2159.9694062508374,59451.371806515985,1475365.683474,1267972.102656,306145.6920139598,204034.60695855378,3704.386321086383,204068.2320076973,0.09637813208237292,0.22570686296434792,0.025451101500855278,0.2511579644652032,0.29934703050638967,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.0014640230760721105,0.046886971473571216,0.29934703050638967,200.0,True,Incluido mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar B1/B2 si el metodo de proyecto lo exige.,"Orientacion_Beta define los ejes fuerte y debil; conexiones, panel de nudo y continuidad requieren revision independiente.",Cumple
406,Columna_1,IR 610 x 113.1,interaccion,SISMO_DOWN_1,J,A992,3515.0,2039696.5324550178,144.6,87409.0,3434.0,24.6,4.9,112.00000000000001,2980747.9999999995,608.0,548.0,229.0,17.3,11.2,6.61849710982659,13.487578184819077,48.92857142857143,35.88659195603647,esbelta,0.9526771833988503,1.0,1.0,1.0,3.1999999999999993,13.00813008130081,65.30612244897958,11666.920434945814,462.8904085581481,727.4368078705393,324.6548662337071,244.08373776559583,271.92719023719246,4750161.700217002,4694509.365739404,3529450.848090516,3932067.170829803,3529450.848090516,3176505.7632814646,pandeo_flexion_y,3.1999999999999993,1.0,903980.5182653334,145549.15515,PLT,fluencia,22768.732194159627,3188.505743418599,1475365.683474,1267972.102656,181388.01803024605,3780.0998493209854,38745.30556006639,38929.26736805803,0.057103002968540054,0.004181616498300977,0.26620082761824526,0.2703824441165462,0.29893394560081626,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.015432602539966069,0.0025146497598327986,0.29893394560081626,200.0,True,Incluido mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar B1/B2 si el metodo de proyecto lo exige.,"Orientacion_Beta define los ejes fuerte y debil; conexiones, panel de nudo y continuidad requieren revision independiente.",Cumple
105,Columna_1,IR 610 x 113.1,interaccion,SISMO_DOWN_1,I,A992,3515.0,2039696.5324550178,144.6,87409.0,3434.0,24.6,4.9,112.00000000000001,2980747.9999999995,608.0,548.0,229.0,17.3,11.2,6.61849710982659,13.487578184819077,48.92857142857143,35.88659195603647,esbelta,0.9526771833988503,1.0,1.0,1.0,3.2,13.008130081300813,65.3061224489796,11666.920434945809,462.89040855814795,727.4368078705388,324.6548662337071,244.08373776559583,271.92719023719246,4750161.700217002,4694509.365739404,3529450.848090516,3932067.170829803,3529450.848090516,3176505.7632814646,pandeo_flexion_y,3.2,1.0,903980.5182653333,145549.15515,PLT,fluencia,2464.6470727118117,51110.5318946469,1475365.683474,1267972.102656,522629.2152290007,169062.45349739076,4150.5926179223925,169113.39568951173,0.16452959766995753,0.18702001877408617,0.028516775749367118,0.21553679452345328,0.29780159335843204,Pu/PR < 0.20: Pu/(2PR) + Mux/MRx + Muy/MRy,0.001670533007727535,0.04030887729121683,0.29780159335843204,200.0,True,Incluido mediante transformacion PDelta del modelo OpenSees.,No se amplifica adicionalmente; revisar B1/B2 si el metodo de proyecto lo exige.,"Orientacion_Beta define los ejes fuerte y debil; conexiones, panel de nudo y continuidad requieren revision independiente.",Cumple
