elemento,grupo,perfil,combo_momento,extremo_momento,combo_cortante,extremo_cortante,eje_flexion,inciso_ntc,clasificacion_patin,clasificacion_alma,material,Fy_kg_cm2,E_kg_cm2,d_mm,h_mm,bf_mm,tf_mm,tw_mm,Ix_cm4,Iy_cm4,Sx_cm3,Zx_cm3,ry_cm,J_cm4,Cw_cm6,lambda_f,lambda_f_p,lambda_f_r,lambda_w,lambda_w_p,lambda_w_r,Lb_m,Cb,Lu_m,Lr_m,Mu_Nm,Vu_N,Mp_Nm,My_Nm,Mn_control_Nm,MR_Nm,estado_limite_control,utilizacion_flexion,Vn_N,VR_N,Cv,utilizacion_cortante,utilizacion_flexion_cortante,estado,utilizacion_control,demanda_control,Mu_modelo_Nm,Vu_modelo_N,Mu_local_Nm,Vu_local_N,local_claro_id,local_longitud_m,local_w_diseno_N_m,local_w_servicio_N_m,local_delta_mm,local_delta_adm_mm,local_deflexion_ratio,local_deflexion_estado,local_metodo,deflexion_claro_id,deflexion_ratio,deflexion_delta_mm,deflexion_adm_mm,deflexion_estado,alertas
428,Viga_2,IR 254 x 38.7,GRAV_DISEÑO,VL-0008,GRAV_DISEÑO,VL-0008,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,262.0,224.0,147.0,11.2,6.7,5994.0,587.0,457.99999999999994,513.0,3.5000000000000004,17.0,92645.0,6.5625,9.152285196841515,24.084961044319776,33.43283582089552,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.4836336003300985,4.56162107338158,65760.58205184375,43121.69314875,176893.4295,157928.24699999997,74930.11394516044,67437.1025506444,PLT,0.9751394939077995,363179.79666,326861.816994,1.0,0.1319263704317643,0.9925440611230987,Cumple,0.9925440611230987,local_gravitacional,4254.816689110356,2246.96202177675,65760.58205184375,43121.69314875,VL-0008,6.1000000000000005,14138.26004877049,10507.3663647541,15.79970664720158,25.416666666666668,0.6216278025128491,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0008,0.6216278025128491,15.79970664720158,25.416666666666668,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
424,Viga_2,IR 254 x 38.7,GRAV_DISEÑO,VL-0023,GRAV_DISEÑO,VL-0023,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,262.0,224.0,147.0,11.2,6.7,5994.0,587.0,457.99999999999994,513.0,3.5000000000000004,17.0,92645.0,6.5625,9.152285196841515,24.084961044319776,33.43283582089552,59.008154558583456,134.87578184819074,6.32,1.0,1.4836336003300985,4.56162107338158,60568.5380416425,38334.517747875,176893.4295,157928.24699999997,71644.16355517381,64479.747199656435,PLT,0.939342051917431,363179.79666,326861.816994,1.0,0.11728050128467186,0.953096767899015,Cumple,0.953096767899015,local_gravitacional,26624.421720249637,8791.911193411155,60568.5380416425,38334.517747875,VL-0023,6.32,12131.176502492088,9037.951835838609,15.659364886355217,26.333333333333332,0.5946594260641221,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0023,0.5946594260641221,15.659364886355217,26.333333333333332,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
430,Viga_2,IR 254 x 38.7,GRAV_DISEÑO,VL-0017,GRAV_DISEÑO,VL-0017,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,262.0,224.0,147.0,11.2,6.7,5994.0,587.0,457.99999999999994,513.0,3.5000000000000004,17.0,92645.0,6.5625,9.152285196841515,24.084961044319776,33.43283582089552,59.008154558583456,134.87578184819074,6.32,1.0,1.4836336003300985,4.56162107338158,60568.5380416425,38334.517747875,176893.4295,157928.24699999997,71644.16355517381,64479.747199656435,PLT,0.939342051917431,363179.79666,326861.816994,1.0,0.11728050128467186,0.953096767899015,Cumple,0.953096767899015,local_gravitacional,22164.815604786403,7481.066770622008,60568.5380416425,38334.517747875,VL-0017,6.32,12131.176502492088,9037.95183583861,15.65936488635522,26.333333333333332,0.5946594260641223,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0017,0.5946594260641223,15.65936488635522,26.333333333333332,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
420,Viga_2,IR 254 x 38.7,GRAV_DISEÑO,VL-0007,GRAV_DISEÑO,VL-0007,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,262.0,224.0,147.0,11.2,6.7,5994.0,587.0,457.99999999999994,513.0,3.5000000000000004,17.0,92645.0,6.5625,9.152285196841515,24.084961044319776,33.43283582089552,59.008154558583456,134.87578184819074,6.2,1.0,1.4836336003300985,4.56162107338158,57560.46871753126,37135.786269375,176893.4295,157928.24699999997,73399.28137413463,66059.35323672117,PLT,0.8713447210308813,363179.79666,326861.816994,1.0,0.11361310602411746,0.8842526588913286,Cumple,0.8842526588913286,local_gravitacional,3187.588441188609,1894.941866317257,57560.46871753126,37135.786269375,VL-0007,6.2,11979.285893346774,8924.087776209679,14.320770980075462,25.833333333333332,0.5543524250351791,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0007,0.5543524250351791,14.320770980075462,25.833333333333332,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
434,Viga_2,IR 254 x 38.7,GRAV_DISEÑO,VL-0009,GRAV_DISEÑO,VL-0009,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,262.0,224.0,147.0,11.2,6.7,5994.0,587.0,457.99999999999994,513.0,3.5000000000000004,17.0,92645.0,6.5625,9.152285196841515,24.084961044319776,33.43283582089552,59.008154558583456,134.87578184819074,6.199999999999999,1.0,1.4836336003300985,4.56162107338158,57560.46871753124,37135.786269375,176893.4295,157928.24699999997,73399.28137413465,66059.35323672119,PLT,0.8713447210308809,363179.79666,326861.816994,1.0,0.11361310602411746,0.8842526588913282,Cumple,0.8842526588913282,local_gravitacional,5964.227018368991,2945.05078747055,57560.46871753124,37135.786269375,VL-0009,6.199999999999999,11979.285893346776,8924.08777620968,14.320770980075457,25.83333333333333,0.554352425035179,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0009,0.554352425035179,14.320770980075457,25.83333333333333,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
425,Viga_2,IR 254 x 38.7,GRAV_DISEÑO,VL-0012,GRAV_DISEÑO,VL-0012,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,262.0,224.0,147.0,11.2,6.7,5994.0,587.0,457.99999999999994,513.0,3.5000000000000004,17.0,92645.0,6.5625,9.152285196841515,24.084961044319776,33.43283582089552,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.4836336003300985,4.56162107338158,50994.114040125016,33438.76330500001,176893.4295,157928.24699999997,74930.11394516044,67437.1025506444,PLT,0.756172968757504,363179.79666,326861.816994,1.0,0.10230244576292563,0.7666387591665803,Cumple,0.7666387591665803,local_gravitacional,3433.06625927407,2002.4609403690695,50994.114040125016,33438.76330500001,VL-0012,6.1000000000000005,10963.528952459017,8193.070770491804,12.319748852362565,25.416666666666668,0.4847114302568878,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0012,0.4847114302568878,12.319748852362565,25.416666666666668,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
422,Viga_2,IR 254 x 38.7,GRAV_DISEÑO,VL-0001,GRAV_DISEÑO,VL-0001,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,262.0,224.0,147.0,11.2,6.7,5994.0,587.0,457.99999999999994,513.0,3.5000000000000004,17.0,92645.0,6.5625,9.152285196841515,24.084961044319776,33.43283582089552,59.008154558583456,134.87578184819074,6.2,1.0,1.4836336003300985,4.56162107338158,48738.34025465626,31444.090486875,176893.4295,157928.24699999997,73399.28137413463,66059.35323672117,PLT,0.7377962069959159,363179.79666,326861.816994,1.0,0.09619995010751654,0.7470506373966045,Cumple,0.7470506373966045,local_gravitacional,5062.672991647204,2419.102052296486,48738.34025465626,31444.090486875,VL-0001,6.2,10143.254995766129,7539.967977822581,12.099629375604524,25.833333333333332,0.46837275002340095,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0001,0.46837275002340095,12.099629375604524,25.833333333333332,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
427,Viga_2,IR 254 x 38.7,GRAV_DISEÑO,VL-0024,GRAV_DISEÑO,VL-0024,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,262.0,224.0,147.0,11.2,6.7,5994.0,587.0,457.99999999999994,513.0,3.5000000000000004,17.0,92645.0,6.5625,9.152285196841515,24.084961044319776,33.43283582089552,59.008154558583456,134.87578184819074,3.8000000000000007,1.0,1.4836336003300985,4.56162107338158,75436.04415571874,56932.863513749995,176893.4295,157928.24699999997,126965.9303386322,114269.33730476898,PLT,0.660159986353316,363179.79666,326861.816994,1.0,0.17418022097942104,0.6904987357337559,Cumple,0.6904987357337559,local_gravitacional,56274.6243477599,23697.984555253086,75436.04415571874,56932.863513749995,VL-0024,5.300000000000001,21484.099439150938,15909.825608490566,13.633416603151446,22.083333333333336,0.6173622612747823,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0024,0.6173622612747823,13.633416603151446,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
128,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,VL-0034,GRAV_DISEÑO,VL-0034,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,455.0,407.0,153.0,13.4,8.1,25474.0,795.0,1121.0,1285.0,3.2,34.0,386692.0,5.708955223880596,9.152285196841515,24.084961044319776,50.24691358024691,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.3564650060160899,3.9903629032842067,85580.2288719844,56118.18286687501,443095.62749999994,386544.90150000004,140292.6479610451,126263.38316494059,PLT,0.6777913495331349,762503.78295,686253.4046550001,1.0,0.08177472415614066,0.6844784550439478,Cumple,0.6844784550439478,local_gravitacional,11088.12823268613,4966.030852088965,85580.2288719844,56118.18286687501,VL-0034,6.1000000000000005,18399.40421864754,13542.91205532787,4.791668895370851,25.416666666666668,0.18852467785065644,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0034,0.18852467785065644,4.791668895370851,25.416666666666668,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
228,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,VL-0060,GRAV_DISEÑO,VL-0060,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,455.0,407.0,153.0,13.4,8.1,25474.0,795.0,1121.0,1285.0,3.2,34.0,386692.0,5.708955223880596,9.152285196841515,24.084961044319776,50.24691358024691,59.008154558583456,134.87578184819074,6.1000000000000005,1.0,1.3564650060160899,3.9903629032842067,85580.2288719844,56118.18286687501,443095.62749999994,386544.90150000004,140292.6479610451,126263.38316494059,PLT,0.6777913495331349,762503.78295,686253.4046550001,1.0,0.08177472415614066,0.6844784550439478,Cumple,0.6844784550439478,local_gravitacional,13060.402544855428,5627.726042722373,85580.2288719844,56118.18286687501,VL-0060,6.1000000000000005,18399.40421864754,13542.91205532787,4.791668895370851,25.416666666666668,0.18852467785065644,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0060,0.18852467785065644,4.791668895370851,25.416666666666668,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
