elemento,tipo,grupo,perfil,combo,tipo_combo,metodo,tipo_valor,extremo,nodo,longitud_m,P_N,Vy_N,Vz_N,T_Nm,My_Nm,Mz_Nm,V_resultante_N,M_resultante_Nm
101,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,1,3.2,356976.83825388603,243.4729783474899,-12.653473647322642,-0.2531373589313905,-3756.437702028394,173.7391800911111,243.80156189151205,3760.453365209984
101,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,17,3.2,-352361.272493886,-243.4729783474899,12.653473647322642,0.2531373589313905,3796.9288176998266,605.3743506208566,243.80156189151205,3844.8857656722425
102,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,2,3.2,635034.4832441463,193.76237251549406,-143.7566166159985,-0.2531373589313905,-4063.739726527193,354.78767784771986,241.2671171621037,4079.197820810837
102,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,18,3.2,-630418.9174841463,-193.76237251549406,143.7566166159985,0.2531373589313905,4523.760899698388,265.25191420186115,241.2671171621037,4531.530785024826
103,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,3,3.2,576663.6212811063,419.304511631704,946.228416193534,-0.25313735893139194,-6927.857734809956,595.3659595716774,1034.9707672619675,6953.392942987102
103,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,19,3.2,-572048.0555211062,-419.3045116317066,-946.228416193534,0.25313735893139194,3899.926802990647,746.4084776497796,1034.9707672619686,3970.712112983301
104,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,4,3.2,305533.54907878384,-736.6083806496245,1565.9709845644984,-0.2531373589313905,-5440.30379078767,-1086.9717003180986,1730.565523446358,5547.829558787032
104,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,20,3.2,-300917.9833187838,736.6083806496245,-1565.9709845644984,0.2531373589313905,429.1966401812756,-1270.1751177606998,1730.565523446358,1340.7291246636298
105,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,5,3.2,656625.095135707,-75.99837533682403,2560.7874708363297,-0.2531373589313905,-4511.045658967044,-167.03026383882377,2561.9149525006023,4514.136910454033
105,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,21,3.2,-652009.5293757069,75.99837533682403,-2560.7874708363297,0.2531373589313905,-3683.474247709211,-76.16453723901311,2561.9149525006023,3684.261604483288
106,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,6,3.2,1216990.2162465847,-4514.522996549711,966.6900461467526,-0.2531373589313905,-5248.2161668074605,-4745.579207778647,4616.861220753272,7075.612690844532
