elemento,tipo,grupo,perfil,longitud_m,P_max_N,P_combo,P_extremo,Vy_max_N,Vy_combo,Vy_extremo,Vz_max_N,Vz_combo,Vz_extremo,V_resultante_max_N,V_resultante_combo,V_resultante_extremo,T_max_Nm,T_combo,T_extremo,My_max_Nm,My_combo,My_extremo,Mz_max_Nm,Mz_combo,Mz_extremo,M_resultante_max_Nm,M_resultante_combo,M_resultante_extremo
101,COLUMNA,Columna_1,IR 610 x 113.1,3.2,356976.83825388603,GRAV_DISEÑO,I,2159.9694062508374,SISMO_DOWN_1,I,59451.371806515985,SISMO_UP_1,I,59489.08493288601,SISMO_UP_1,I,3.4665765994588096,SISMO_DOWN_1,I,204034.60695855378,SISMO_DOWN_1,I,3704.386321086383,SISMO_DOWN_1,I,204068.2320076973,SISMO_DOWN_1,I
102,COLUMNA,Columna_1,IR 610 x 113.1,3.2,635034.4832441463,GRAV_DISEÑO,I,9834.522752457211,SISMO_DOWN_1,I,5497.348703380095,SISMO_UP_1,I,11265.409668419125,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,19373.452720224832,SISMO_DOWN_1,I,16041.742825940215,SISMO_DOWN_1,I,25152.8961194609,SISMO_DOWN_1,I
103,COLUMNA,Columna_1,IR 610 x 113.1,3.2,576663.6212811063,GRAV_DISEÑO,I,10237.047156922294,SISMO_DOWN_1,J,6196.1163554024915,SISMO_DOWN_1,I,11966.160302400143,SISMO_DOWN_1,J,3.4665765994588122,SISMO_DOWN_1,I,23118.859214637563,SISMO_DOWN_1,I,16471.12067044778,SISMO_DOWN_1,I,28386.25490491277,SISMO_DOWN_1,I
104,COLUMNA,Columna_1,IR 610 x 113.1,3.2,305533.54907878384,GRAV_DISEÑO,I,2371.2294433905827,SISMO_DOWN_1,I,62032.87790059519,SISMO_DOWN_1,I,62078.181913643006,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,207013.95233713827,SISMO_DOWN_1,I,4077.4209107179654,SISMO_DOWN_1,I,207054.10361431167,SISMO_DOWN_1,I
105,COLUMNA,Columna_1,IR 610 x 113.1,3.2,656625.095135707,GRAV_DISEÑO,I,2464.6470727118117,SISMO_DOWN_1,I,51110.5318946469,SISMO_DOWN_1,I,51169.92237385889,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,169062.45349739076,SISMO_DOWN_1,I,4150.5926179223925,SISMO_DOWN_1,I,169113.39568951173,SISMO_DOWN_1,I
106,COLUMNA,Columna_1,IR 610 x 113.1,3.2,1216990.2162465847,GRAV_DISEÑO,I,10993.683011292738,SISMO_DOWN_1,I,7306.897143535623,SISMO_DOWN_1,I,13200.447417379291,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,21602.00175571449,SISMO_DOWN_1,I,19024.65966125843,SISMO_DOWN_1,J,26974.812874783893,SISMO_DOWN_1,I
107,COLUMNA,Columna_1,IR 610 x 113.1,3.2,941994.0238900218,GRAV_DISEÑO,I,10127.93604933382,SISMO_DOWN_1,J,12348.920434904705,SISMO_DOWN_1,I,15970.940001358798,SISMO_DOWN_1,J,3.466576599458813,SISMO_DOWN_1,I,26274.132438284563,GRAV_DISEÑO,J,17081.588350367892,SISMO_DOWN_1,J,26974.79631276011,GRAV_DISEÑO,J
108,COLUMNA,Columna_1,IR 610 x 113.1,3.2,470307.2081898308,GRAV_DISEÑO,I,3018.226209477905,SISMO_DOWN_1,I,51152.3986166396,SISMO_DOWN_1,I,51241.365845254084,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,168212.40590633146,SISMO_DOWN_1,I,5315.650881225818,SISMO_DOWN_1,J,168268.4536286363,SISMO_DOWN_1,I
109,COLUMNA,Columna_1,IR 610 x 113.1,3.2,662350.7196975545,GRAV_DISEÑO,I,2536.2657932667685,SISMO_DOWN_1,I,41908.22887736727,SISMO_DOWN_1,I,41984.90552343657,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,135108.27536105626,SISMO_DOWN_1,I,4226.985921632408,SISMO_DOWN_1,I,135174.38174824652,SISMO_DOWN_1,I
110,COLUMNA,Columna_1,IR 610 x 113.1,3.2,1156767.101214269,GRAV_DISEÑO,I,8954.73299536312,SISMO_DOWN_1,I,8243.837113184196,SISMO_DOWN_1,I,12171.61013863647,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,22601.40270688643,SISMO_DOWN_1,I,15507.05237183372,SISMO_DOWN_1,J,26147.689581633436,SISMO_DOWN_1,I
111,COLUMNA,Columna_1,IR 610 x 113.1,3.2,617191.0940848853,GRAV_DISEÑO,I,8194.597266206294,SISMO_DOWN_1,J,6296.806792526349,SISMO_DOWN_1,I,10334.466611186164,SISMO_DOWN_1,J,3.4665765994588122,SISMO_DOWN_1,I,23226.251765965797,SISMO_DOWN_1,I,13897.793556289027,SISMO_DOWN_1,J,26293.85553615352,SISMO_DOWN_1,I
112,COLUMNA,Columna_1,IR 610 x 113.1,3.2,292452.4622028233,GRAV_DISEÑO,I,1921.9795418612837,SISMO_DOWN_1,I,42632.98934048179,SISMO_DOWN_1,I,42676.290671343115,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,136224.18715807653,SISMO_DOWN_1,I,3598.222151785492,SISMO_DOWN_1,I,136271.70054538932,SISMO_DOWN_1,I
113,COLUMNA,Columna_1,IR 610 x 113.1,3.2,362878.3605817791,GRAV_DISEÑO,I,2310.3283315807575,SISMO_DOWN_1,I,34950.83133875131,SISMO_DOWN_1,I,35027.10704967719,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,108647.00295682266,SISMO_DOWN_1,I,3985.9696821487687,SISMO_DOWN_1,I,108720.09568523586,SISMO_DOWN_1,I
114,COLUMNA,Columna_1,IR 610 x 113.1,3.2,641353.46544033,GRAV_DISEÑO,I,5121.515130170684,SISMO_DOWN_1,I,6985.84446767803,SISMO_DOWN_1,I,8662.097907271365,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,21258.97832444026,SISMO_DOWN_1,I,8307.605071765605,SISMO_DOWN_1,I,22824.5582964369,SISMO_DOWN_1,I
115,COLUMNA,Columna_1,IR 610 x 113.1,3.2,593171.5262288311,GRAV_DISEÑO,I,5102.469941236238,SISMO_UP_1,I,7078.618357421073,SISMO_DOWN_1,I,8725.559709450927,SISMO_DOWN_1,I,3.4665765994588122,SISMO_DOWN_1,I,24060.183970667636,SISMO_DOWN_1,I,8286.648297500878,SISMO_DOWN_1,I,25447.219744185142,SISMO_DOWN_1,I
116,COLUMNA,Columna_1,IR 610 x 113.1,3.2,316974.810873461,GRAV_DISEÑO,I,2364.4896804668683,SISMO_DOWN_1,I,34911.600896947566,SISMO_DOWN_1,I,34991.58025349505,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,108225.82894605736,SISMO_DOWN_1,I,4070.2329662981515,SISMO_DOWN_1,I,108302.33999070014,SISMO_DOWN_1,I
117,VIGA,Viga_1,IR 457 x 59.5,6.32,0.0,,,4.856037153533118e-15,GRAV_DISEÑO,I,17894.575663362622,SISMO_DOWN_1,I,17894.575663362622,SISMO_DOWN_1,I,0.3484096626725491,SISMO_DOWN_1,I,66799.56917885084,SISMO_DOWN_1,I,1.5345077405164655e-14,GRAV_DISEÑO,I,66799.56917885084,SISMO_DOWN_1,I
118,VIGA,Viga_1,IR 457 x 59.5,6.2,0.0,,,4.583267013078039e-15,SISMO_DOWN_1,I,4310.828048537233,SISMO_DOWN_1,J,4310.828048537233,SISMO_DOWN_1,J,1.714140367029141,SISMO_DOWN_1,I,8896.112558652929,SISMO_DOWN_1,I,1.4208127740541919e-14,SISMO_DOWN_1,I,8896.112558652929,SISMO_DOWN_1,I
119,VIGA,Viga_1,IR 457 x 59.5,5.299999999999999,0.0,,,8.055846972878658e-15,GRAV_DISEÑO,I,4454.830507477832,SISMO_DOWN_1,J,4454.830507477832,SISMO_DOWN_1,J,1.5667791922339853,SISMO_DOWN_1,I,8656.246295037732,SISMO_DOWN_1,I,2.134799447812844e-14,GRAV_DISEÑO,I,8656.246295037732,SISMO_DOWN_1,I
120,VIGA,Viga_1,IR 457 x 59.5,6.2,0.0,,,4.583267013078039e-15,SISMO_DOWN_1,I,4460.176892460781,SISMO_DOWN_1,I,4460.176892460781,SISMO_DOWN_1,I,4.781740323569189,GRAV_DISEÑO,I,9744.56106855715,SISMO_DOWN_1,I,1.4208127740541919e-14,SISMO_DOWN_1,I,9744.56106855715,SISMO_DOWN_1,I
121,VIGA,Viga_1,IR 457 x 59.5,5.450000000000001,0.0,,,4.433965323570883e-15,SISMO_UP_1,I,22976.582345385395,SISMO_DOWN_1,J,22976.582345385395,SISMO_DOWN_1,J,0.6803831357698452,GRAV_DISEÑO,I,77620.68804743899,SISMO_DOWN_1,J,1.2082555506730659e-14,SISMO_UP_1,I,77620.68804743899,SISMO_DOWN_1,J
122,VIGA,Viga_1,IR 457 x 59.5,6.2,0.0,,,4.583267013078039e-15,SISMO_DOWN_1,I,5665.980552210252,SISMO_DOWN_1,J,5665.980552210252,SISMO_DOWN_1,J,2.7498403246114482,GRAV_DISEÑO,I,14038.264343156261,SISMO_DOWN_1,J,1.4208127740541919e-14,SISMO_DOWN_1,I,14038.264343156261,SISMO_DOWN_1,J
123,VIGA,Viga_1,IR 457 x 59.5,6.2,0.0,,,4.583267013078039e-15,SISMO_DOWN_1,I,7043.4924133536,SISMO_DOWN_1,J,7043.4924133536,SISMO_DOWN_1,J,1.565779136854709,SISMO_DOWN_1,I,21093.82019676364,SISMO_DOWN_1,J,1.4208127740541919e-14,SISMO_DOWN_1,I,21093.82019676364,SISMO_DOWN_1,J
124,VIGA,Viga_1,IR 457 x 59.5,6.32,0.0,,,4.856037153533118e-15,GRAV_DISEÑO,I,19997.53296197547,SISMO_DOWN_1,J,19997.53296197547,SISMO_DOWN_1,J,0.37137103764300383,SISMO_DOWN_5,I,60573.0577424556,SISMO_DOWN_1,I,1.5345077405164655e-14,GRAV_DISEÑO,I,60573.0577424556,SISMO_DOWN_1,I
125,VIGA,Viga_1,IR 457 x 59.5,6.1000000000000005,0.0,,,2.386697444760629e-14,SISMO_DOWN_1,I,3430.6802025802253,SISMO_DOWN_1,J,3430.6802025802253,SISMO_DOWN_1,J,1.6150116657869957,SISMO_DOWN_1,I,6333.062269874339,SISMO_DOWN_1,J,7.279427206519918e-14,SISMO_DOWN_1,I,6333.062269874339,SISMO_DOWN_1,J
126,VIGA,Viga_1,IR 457 x 59.5,1.5,0.0,,,3.1110987637815636e-13,SISMO_DOWN_1,I,91468.38505382967,GRAV_DISEÑO,I,91468.38505382967,GRAV_DISEÑO,I,20.941261045228114,GRAV_DISEÑO,I,77319.86885134238,GRAV_DISEÑO,J,2.3333240728361736e-13,SISMO_DOWN_1,I,77319.86885134238,GRAV_DISEÑO,J
