combo,criterio,nodos_base,x_ref_m,y_ref_m,z_ref_m,sum_Rx_N,sum_Ry_N,sum_Rz_N,sum_Mx_Nm,sum_My_Nm,sum_Mz_Nm,V_horizontal_N,M_volteo_Nm,P_compresion_total_N,levantamiento_total_N,P_compresion_max_nodo_N,levantamiento_max_nodo_N
GRAV_DISEÑO,gravedad_signada,16,8.7525,9.25,0.0,-1.2263285498193e-08,-4.9978780225501396e-08,9803264.575644,-1285210.851006546,7369679.478709643,-8.342690307472367e-07,5.1461312109575676e-08,7480905.195927763,9803264.575644,0.0,1216990.2162465847,0.0
GRAV_SERVICIO,gravedad_signada,16,8.7525,9.25,0.0,-3.5647644835989922e-09,-1.4587499208573718e-08,7249484.915279999,-938526.3988270708,5454462.855181872,-2.4353039407287724e-07,1.5016746617815313e-08,5534618.039201449,7249484.915279999,0.0,897480.7229015747,0.0
SISMO_DOWN_1,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,446669.31737574155,78995.67526850573,7636729.013306298,-1732160.8051198884,6218981.657442929,654634.8153229977,453600.9212909936,6455703.982557222,7636729.013306298,0.0,879823.2947324032,0.0
SISMO_DOWN_2,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,446669.31737574155,78995.67526850573,7636729.013306298,-1732160.8051198884,6218981.657442929,654634.8153229977,453600.9212909936,6455703.982557222,7636729.013306298,0.0,879823.2947324032,0.0
SISMO_DOWN_3,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,446669.31737574155,78995.67526850573,7636729.013306298,-1732160.8051198884,6218981.657442929,654634.8153229977,453600.9212909936,6455703.982557222,7636729.013306298,0.0,879823.2947324032,0.0
SISMO_DOWN_4,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,446669.31737574155,78995.67526850573,7636729.013306298,-1732160.8051198884,6218981.657442929,654634.8153229977,453600.9212909936,6455703.982557222,7636729.013306298,0.0,879823.2947324032,0.0
SISMO_DOWN_5,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,160186.61676755277,50992.65114756564,7202842.10272553,-1021859.9666428026,5669335.37977395,191456.35608566576,168107.11663249758,5760691.055748769,7202842.10272553,0.0,857101.399059941,0.0
SISMO_DOWN_6,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,160186.61676755277,50992.65114756564,7202842.10272553,-1021859.9666428026,5669335.37977395,191456.35608566576,168107.11663249758,5760691.055748769,7202842.10272553,0.0,857101.399059941,0.0
SISMO_DOWN_7,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,160186.61676755277,50992.65114756564,7202842.10272553,-1021859.9666428026,5669335.37977395,191456.35608566576,168107.11663249758,5760691.055748769,7202842.10272553,0.0,857101.399059941,0.0
SISMO_DOWN_8,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,160186.61676755277,50992.65114756564,7202842.10272553,-1021859.9666428026,5669335.37977395,191456.35608566576,168107.11663249758,5760691.055748769,7202842.10272553,0.0,857101.399059941,0.0
SISMO_UP_1,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,441518.0274754563,73905.34395667749,5474842.603658299,-1487992.1183788173,4495799.143924608,642470.4280520461,447660.7738580326,4735644.674895987,5474842.603658299,0.0,614558.3326873797,0.0
SISMO_UP_2,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,441518.0274754563,73905.34395667749,5474842.603658299,-1487992.1183788173,4495799.143924608,642470.4280520461,447660.7738580326,4735644.674895987,5474842.603658299,0.0,614558.3326873797,0.0
SISMO_UP_3,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,441518.0274754563,73905.34395667749,5474842.603658299,-1487992.1183788173,4495799.143924608,642470.4280520461,447660.7738580326,4735644.674895987,5474842.603658299,0.0,614558.3326873797,0.0
SISMO_UP_4,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,441518.0274754563,73905.34395667749,5474842.603658299,-1487992.1183788173,4495799.143924608,642470.4280520461,447660.7738580326,4735644.674895987,5474842.603658299,0.0,614558.3326873797,0.0
SISMO_UP_5,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,155035.32686726752,45902.3198357374,5040955.693077529,-777691.2799017304,3946152.866255633,179291.9688147144,161687.89547502564,4022054.968631426,5040955.693077529,0.0,591836.4370149174,0.0
SISMO_UP_6,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,155035.32686726752,45902.3198357374,5040955.693077529,-777691.2799017304,3946152.866255633,179291.9688147144,161687.89547502564,4022054.968631426,5040955.693077529,0.0,591836.4370149174,0.0
SISMO_UP_7,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,155035.32686726752,45902.3198357374,5040955.693077529,-777691.2799017304,3946152.866255633,179291.9688147144,161687.89547502564,4022054.968631426,5040955.693077529,0.0,591836.4370149174,0.0
SISMO_UP_8,envolvente_abs_grav_cqc,16,8.7525,9.25,0.0,155035.32686726752,45902.3198357374,5040955.693077529,-777691.2799017304,3946152.866255633,179291.9688147144,161687.89547502564,4022054.968631426,5040955.693077529,0.0,591836.4370149174,0.0
