rank,factible,cumple_normativa,cumple_dc,dc_calculado,dc_limite,cumple_lrfd_detallado,lrfd_detallado_activo,lrfd_detallado_modo,lrfd_max_util,lrfd_penalizacion,lrfd_error,lrfd_vigas_ir_total,lrfd_vigas_ir_no_cumplen,lrfd_vigas_ir_util_max,lrfd_vigas_ir_elemento_critico,lrfd_vigas_ir_grupo_critico,lrfd_vigas_ir_perfil_critico,lrfd_vigas_ir_estado_limite,lrfd_vigas_ir_mu_kN_m,lrfd_vigas_ir_mr_kN_m,lrfd_columnas_or_total,lrfd_columnas_or_no_cumplen,lrfd_columnas_or_util_max,lrfd_columnas_or_interaccion_max,lrfd_columnas_or_elemento_critico,lrfd_columnas_or_grupo_critico,lrfd_columnas_or_perfil_critico,lrfd_columnas_or_combo_critico,lrfd_contravientos_or_total,lrfd_contravientos_or_no_cumplen,lrfd_contravientos_or_util_max,lrfd_contravientos_or_elemento_critico,lrfd_contravientos_or_grupo_critico,lrfd_contravientos_or_perfil_critico,lrfd_contravientos_or_estado_control,lrfd_contravientos_or_pu_kN,lrfd_contravientos_or_pr_kN,lrfd_contravientos_or_tr_kN,peso_kg,fitness_peso,fitness_dc,fitness_deriva,max_dc,max_dc_combo,max_dc_elemento,max_dc_extremo,max_dc_tipo_revision,max_dc_pu_N,max_dc_muy_Nm,max_dc_muz_Nm,max_dc_phi_pn_N,max_dc_phi_mny_Nm,max_dc_phi_mnz_Nm,max_dc_ratio_axial,max_dc_ratio_my,max_dc_ratio_mz,max_dc_rama,objetivo_dc_meta_util,objetivo_dc_max_util,cumple_objetivo_dc_max,exceso_objetivo_dc,objetivo_dc_equilibrio,cumple_deriva_servicio,deriva_servicio_calculada,deriva_servicio_limite,util_deriva_servicio,cumple_deriva_colapso,deriva_colapso_calculada,deriva_colapso_limite,util_deriva_colapso,factor_inelastico_deriva,deriva_elastica_max,deriva_combo,deriva_nivel,util_servicio,util_colapso,util_deriva,objetivo_deriva_modo,sistema_lateral,objetivo_deriva_min_util,objetivo_deriva_meta_util,cumple_objetivo_deriva_min,deficit_objetivo_deriva,objetivo_deriva_equilibrio,cumple_desplazamiento_azotea,desplazamiento_azotea_calculado_m,desplazamiento_azotea_limite_m,util_desplazamiento_azotea,desp_azotea_m,util_azotea,desp_azotea_combo,cumple_esbeltez,esbeltez_kl_r_calculada,esbeltez_kl_r_limite,util_esbeltez,esbeltez_elemento,esbeltez_kl_r,cumple_cortante_basal,requiere_escalamiento_cortante,factor_cortante,factor_cortante_combo,factor_cortante_direccion,cortante_invalido,cumple_constructibilidad,cumple_espesor_minimo,cumple_lrfd_local,cumple_columna_mismo_perfil_altura,cumple_telescopico,cumple_ancho_nudo,cumple_cfvd,cumple_guillotina,penal_constructibilidad,penal_constructibilidad_letal,penal_embudo,constructibilidad_total,constructibilidad_espesor,constructibilidad_lrfd_local,constructibilidad_columna_mismo_perfil_altura,constructibilidad_telescopico,constructibilidad_ancho_nudo,constructibilidad_cfvd,guillotina,genes,perfiles,Columna_1,Columna_2,Viga_1,Contraviento_1,Contraviento_2,Viga_2
1,True,True,True,0.7882629012420366,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.41414097834130226,0.41414097834130226,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.7881971082458503,367,Contraviento_2,ORC 76 x 6.4,compresion,76.94393089587804,97.62016390432899,448.70611365,40247.84742273924,40247.84742273924,0.00021524919883466822,0.0006550200987475108,0.7882629012420366,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,76943.93089587805,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.7882629012420366,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.00021524919883466822,True,0.0008623605792947574,0.005,0.17247211585895147,True,0.0038327136857544777,0.01,0.38327136857544775,4.444444444444445,0.0008623605792947574,SISMO_DOWN_1,Nivel 6.4 m,0.17247211585895147,0.38327136857544775,0.38327136857544775,auto,arriostrado,0.25,0.35,True,0.0,0.0006550200987475108,True,0.009489340485514308,0.1,0.09489340485514308,0.009489340485514308,0.09489340485514308,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 117, 24, 60, 51, 24]","[""ORC 178 x 9.5"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 89 x 6.4"", ""ORC 76 x 6.4"", ""IR 305 x 38.7""]",ORC 178 x 9.5,ORC 305 x 12.7,IR 305 x 38.7,ORC 89 x 6.4,ORC 76 x 6.4,IR 305 x 38.7
2,True,True,True,0.7927250866662979,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.415314432384979,0.415314432384979,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.7926589212302212,367,Contraviento_2,ORC 76 x 6.4,compresion,77.37949381072279,97.62016390432899,448.70611365,40261.67142273926,40261.67142273926,8.269431877012005e-05,0.0006966450836679561,0.7927250866662979,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77379.4938107228,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.7927250866662979,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,8.269431877012005e-05,True,0.0008647025523798057,0.005,0.17294051047596112,True,0.0038431224550213587,0.01,0.3843122455021359,4.444444444444445,0.0008647025523798057,SISMO_DOWN_1,Nivel 6.4 m,0.17294051047596112,0.3843122455021359,0.3843122455021359,auto,arriostrado,0.25,0.35,True,0.0,0.0006966450836679561,True,0.009546048163361045,0.1,0.09546048163361044,0.009546048163361045,0.09546048163361044,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 118, 24, 60, 51, 24]","[""ORC 178 x 9.5"", ""ORC 254 x 15.9"", ""IR 305 x 38.7"", ""ORC 89 x 6.4"", ""ORC 76 x 6.4"", ""IR 305 x 38.7""]",ORC 178 x 9.5,ORC 254 x 15.9,IR 305 x 38.7,ORC 89 x 6.4,ORC 76 x 6.4,IR 305 x 38.7
3,True,True,True,0.5454962914159522,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.40420482958582,0.40420482958582,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.5449578422992396,367,Contraviento_2,ORC 89 x 4.8,compresion,77.41196571378191,142.05129223789487,455.56094925,40394.85801210454,40394.85801210454,0.10120646512974052,7.904763317765013e-05,0.5454962914159522,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77411.96571378192,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.5454962914159522,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.10120646512974052,True,0.0008135058052481658,0.005,0.16270116104963317,True,0.003615581356658515,0.01,0.3615581356658515,4.444444444444445,0.0008135058052481658,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16270116104963317,0.3615581356658515,0.3615581356658515,auto,arriostrado,0.25,0.35,True,0.0,7.904763317765013e-05,True,0.009102206816388902,0.1,0.09102206816388902,0.009102206816388902,0.09102206816388902,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 117, 24, 63, 52, 24]","[""ORC 203 x 7.9"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 114 x 5.3"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 305 x 12.7,IR 305 x 38.7,ORC 114 x 5.3,ORC 89 x 4.8,IR 305 x 38.7
4,True,True,True,0.548897291950335,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.40530412676832656,0.40530412676832656,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.548355485770041,367,Contraviento_2,ORC 89 x 4.8,compresion,77.8946053593729,142.05129223789487,455.56094925,40408.68201210455,40408.68201210455,0.0985196406091802,0.00010429608514269588,0.548897291950335,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77894.6053593729,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.548897291950335,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.0985196406091802,True,0.0008173716955235048,0.005,0.16347433910470097,True,0.003632763091215577,0.01,0.3632763091215577,4.444444444444445,0.0008173716955235048,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16347433910470097,0.3632763091215577,0.3632763091215577,auto,arriostrado,0.25,0.35,True,0.0,0.00010429608514269588,True,0.009152674285903863,0.1,0.09152674285903863,0.009152674285903863,0.09152674285903863,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 118, 24, 63, 52, 24]","[""ORC 203 x 7.9"", ""ORC 254 x 15.9"", ""IR 305 x 38.7"", ""ORC 114 x 5.3"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 254 x 15.9,IR 305 x 38.7,ORC 114 x 5.3,ORC 89 x 4.8,IR 305 x 38.7
5,True,True,True,0.7889058319117714,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.40197984709275963,0.40197984709275963,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.7888399852528604,367,Contraviento_2,ORC 76 x 6.4,compresion,77.00668865467269,97.62016390432899,448.70611365,40441.35106843514,40441.35106843514,0.00019231338370292184,0.00012454637658968065,0.7889058319117714,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77006.68865467269,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.7889058319117714,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.00019231338370292184,True,0.0008201431017706664,0.005,0.16402862035413326,True,0.003645080452314073,0.01,0.3645080452314073,4.444444444444445,0.0008201431017706664,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16402862035413326,0.3645080452314073,0.3645080452314073,auto,arriostrado,0.25,0.35,True,0.0,0.00012454637658968065,True,0.00903303429796902,0.1,0.0903303429796902,0.00903303429796902,0.0903303429796902,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 117, 24, 65, 51, 24]","[""ORC 203 x 7.9"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 102 x 6.4"", ""ORC 76 x 6.4"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 305 x 12.7,IR 305 x 38.7,ORC 102 x 6.4,ORC 76 x 6.4,IR 305 x 38.7
6,True,True,True,0.7941295221803958,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.40302631117397825,0.40302631117397825,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.7940632395219808,367,Contraviento_2,ORC 76 x 6.4,compresion,77.51658359253821,97.62016390432899,448.70611365,40455.17506843515,40455.17506843515,5.3847671610102447e-05,0.00015843729892251975,0.7941295221803958,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77516.58359253821,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.7941295221803958,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,5.3847671610102447e-05,True,0.0008243175245717847,0.005,0.16486350491435695,True,0.0036636334425412657,0.01,0.3663633442541266,4.444444444444445,0.0008243175245717847,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16486350491435695,0.3663633442541266,0.3663633442541266,auto,arriostrado,0.25,0.35,True,0.0,0.00015843729892251975,True,0.009082133502633835,0.1,0.09082133502633834,0.009082133502633835,0.09082133502633834,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 118, 24, 65, 51, 24]","[""ORC 203 x 7.9"", ""ORC 254 x 15.9"", ""IR 305 x 38.7"", ""ORC 102 x 6.4"", ""ORC 76 x 6.4"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 254 x 15.9,IR 305 x 38.7,ORC 102 x 6.4,ORC 76 x 6.4,IR 305 x 38.7
7,True,True,True,0.545689036447002,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.4021543607945172,0.4021543607945172,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.5451503970752989,367,Contraviento_2,ORC 89 x 4.8,compresion,77.43931836854772,142.05129223789487,455.56094925,40476.57308080676,40476.57308080676,0.10105322841133488,8.272184675599233e-05,0.545689036447002,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77439.31836854771,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.545689036447002,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.10105322841133488,True,0.00081410332874194,0.005,0.162820665748388,True,0.0036182370166308445,0.01,0.3618237016630845,4.444444444444445,0.00081410332874194,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.162820665748388,0.3618237016630845,0.3618237016630845,auto,arriostrado,0.25,0.35,True,0.0,8.272184675599233e-05,True,0.009006155256024113,0.1,0.09006155256024113,0.009006155256024113,0.09006155256024113,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 117, 24, 65, 52, 24]","[""ORC 203 x 7.9"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 102 x 6.4"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 305 x 12.7,IR 305 x 38.7,ORC 102 x 6.4,ORC 89 x 4.8,IR 305 x 38.7
8,True,True,True,0.5492022183099395,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.4031999969534772,0.4031999969534772,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.5486601111425782,367,Contraviento_2,ORC 89 x 4.8,compresion,77.93787778719026,142.05129223789487,455.56094925,40490.39708080677,40490.39708080677,0.09828051140727381,0.00010958881110377515,0.5492022183099395,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77937.87778719026,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.5492022183099395,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.09828051140727381,True,0.0008181202673404354,0.005,0.16362405346808706,True,0.0036360900770686017,0.01,0.36360900770686017,4.444444444444445,0.0008181202673404354,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16362405346808706,0.36360900770686017,0.36360900770686017,auto,arriostrado,0.25,0.35,True,0.0,0.00010958881110377515,True,0.009054927502650323,0.1,0.09054927502650323,0.009054927502650323,0.09054927502650323,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 118, 24, 65, 52, 24]","[""ORC 203 x 7.9"", ""ORC 254 x 15.9"", ""IR 305 x 38.7"", ""ORC 102 x 6.4"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 254 x 15.9,IR 305 x 38.7,ORC 102 x 6.4,ORC 89 x 4.8,IR 305 x 38.7
9,True,True,True,0.5463039156327981,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.4080766861785764,0.4080766861785764,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.5457646693254299,367,Contraviento_2,ORC 89 x 4.8,compresion,77.5265765354647,142.05129223789487,455.56094925,40559.21001210455,40559.21001210455,0.1005651612863288,8.971707083707256e-05,0.5463039156327981,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77526.5765354647,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.5463039156327981,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.1005651612863288,True,0.000815205335482185,0.005,0.163041067096437,True,0.003623134824365267,0.01,0.3623134824365267,4.444444444444445,0.000815205335482185,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.163041067096437,0.3623134824365267,0.3623134824365267,auto,arriostrado,0.25,0.35,True,0.0,8.971707083707256e-05,True,0.009129140169899495,0.1,0.09129140169899494,0.009129140169899495,0.09129140169899494,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 117, 24, 63, 52, 24]","[""ORC 178 x 9.5"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 114 x 5.3"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 178 x 9.5,ORC 305 x 12.7,IR 305 x 38.7,ORC 114 x 5.3,ORC 89 x 4.8,IR 305 x 38.7
10,True,True,True,0.5497134451962721,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.40907427275037517,0.40907427275037517,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.5491708334064785,367,Contraviento_2,ORC 89 x 4.8,compresion,78.01042654475195,142.05129223789487,455.56094925,40573.03401210457,40573.03401210457,0.09788024924299923,0.0001163435745132563,0.5497134451962721,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,78010.42654475196,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.5497134451962721,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.09788024924299923,True,0.0008190498335129518,0.005,0.16380996670259035,True,0.003640221482279786,0.01,0.36402214822797857,4.444444444444445,0.0008190498335129518,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16380996670259035,0.36402214822797857,0.36402214822797857,auto,arriostrado,0.25,0.35,True,0.0,0.0001163435745132563,True,0.009179251525628086,0.1,0.09179251525628085,0.009179251525628086,0.09179251525628085,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 118, 24, 63, 52, 24]","[""ORC 178 x 9.5"", ""ORC 254 x 15.9"", ""IR 305 x 38.7"", ""ORC 114 x 5.3"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 178 x 9.5,ORC 254 x 15.9,IR 305 x 38.7,ORC 114 x 5.3,ORC 89 x 4.8,IR 305 x 38.7
