motivos_seleccion,rank,factible,cumple_normativa,cumple_dc,dc_calculado,dc_limite,cumple_lrfd_detallado,lrfd_detallado_activo,lrfd_detallado_modo,lrfd_max_util,lrfd_penalizacion,lrfd_error,lrfd_vigas_ir_total,lrfd_vigas_ir_no_cumplen,lrfd_vigas_ir_util_max,lrfd_vigas_ir_elemento_critico,lrfd_vigas_ir_grupo_critico,lrfd_vigas_ir_perfil_critico,lrfd_vigas_ir_estado_limite,lrfd_vigas_ir_mu_kN_m,lrfd_vigas_ir_mr_kN_m,lrfd_columnas_or_total,lrfd_columnas_or_no_cumplen,lrfd_columnas_or_util_max,lrfd_columnas_or_interaccion_max,lrfd_columnas_or_elemento_critico,lrfd_columnas_or_grupo_critico,lrfd_columnas_or_perfil_critico,lrfd_columnas_or_combo_critico,lrfd_contravientos_or_total,lrfd_contravientos_or_no_cumplen,lrfd_contravientos_or_util_max,lrfd_contravientos_or_elemento_critico,lrfd_contravientos_or_grupo_critico,lrfd_contravientos_or_perfil_critico,lrfd_contravientos_or_estado_control,lrfd_contravientos_or_pu_kN,lrfd_contravientos_or_pr_kN,lrfd_contravientos_or_tr_kN,peso_kg,fitness_peso,fitness_dc,fitness_deriva,max_dc,max_dc_combo,max_dc_elemento,max_dc_extremo,max_dc_tipo_revision,max_dc_pu_N,max_dc_muy_Nm,max_dc_muz_Nm,max_dc_phi_pn_N,max_dc_phi_mny_Nm,max_dc_phi_mnz_Nm,max_dc_ratio_axial,max_dc_ratio_my,max_dc_ratio_mz,max_dc_rama,objetivo_dc_meta_util,objetivo_dc_max_util,cumple_objetivo_dc_max,exceso_objetivo_dc,objetivo_dc_equilibrio,cumple_deriva_servicio,deriva_servicio_calculada,deriva_servicio_limite,util_deriva_servicio,cumple_deriva_colapso,deriva_colapso_calculada,deriva_colapso_limite,util_deriva_colapso,factor_inelastico_deriva,deriva_elastica_max,deriva_combo,deriva_nivel,util_servicio,util_colapso,util_deriva,objetivo_deriva_modo,sistema_lateral,objetivo_deriva_min_util,objetivo_deriva_meta_util,cumple_objetivo_deriva_min,deficit_objetivo_deriva,objetivo_deriva_equilibrio,cumple_desplazamiento_azotea,desplazamiento_azotea_calculado_m,desplazamiento_azotea_limite_m,util_desplazamiento_azotea,desp_azotea_m,util_azotea,desp_azotea_combo,cumple_esbeltez,esbeltez_kl_r_calculada,esbeltez_kl_r_limite,util_esbeltez,esbeltez_elemento,esbeltez_kl_r,cumple_cortante_basal,requiere_escalamiento_cortante,factor_cortante,factor_cortante_combo,factor_cortante_direccion,cortante_invalido,cumple_constructibilidad,cumple_espesor_minimo,cumple_lrfd_local,cumple_columna_mismo_perfil_altura,cumple_telescopico,cumple_ancho_nudo,cumple_cfvd,cumple_guillotina,penal_constructibilidad,penal_constructibilidad_letal,penal_embudo,constructibilidad_total,constructibilidad_espesor,constructibilidad_lrfd_local,constructibilidad_columna_mismo_perfil_altura,constructibilidad_telescopico,constructibilidad_ancho_nudo,constructibilidad_cfvd,guillotina,genes,perfiles,Columna_1,Columna_2,Viga_1,Contraviento_1,Contraviento_2,Viga_2
"menor_peso, top_peso",1,True,True,True,0.7199480488282839,1.0,True,True,completo,0.7192374016670275,0.0,,152,0,0.29341239571899413,130,Viga_1,IR 356 x 44.6,F,70.66055184343533,240.82333559999998,64,0,0.37292360396486857,0.37292360396486857,102,Columna_1,ORC 229 x 7.9,SISMO_DOWN_1,64,0,0.7192374016670275,156,Contraviento_1,ORC 89 x 4.8,compresion,102.1686023326271,142.05129223789487,455.56094925,45584.98468228143,45584.98468228143,0.010012992009998167,0.0009545669745607177,0.7199480488282839,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,102168.60233262711,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7199480488282839,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.010012992009998167,True,0.0008778709968503504,0.005,0.17557419937007007,True,0.0039016488748904463,0.01,0.3901648874890446,4.444444444444445,0.0008778709968503504,SISMO_DOWN_1,Nivel 6.4 m,0.17557419937007007,0.3901648874890446,0.3901648874890446,auto,arriostrado,0.25,0.35,True,0.0,0.0009545669745607177,True,0.009187094615596816,0.1,0.09187094615596816,0.009187094615596816,0.09187094615596816,SISMO_DOWN_1,True,35.633658515572954,200.0,0.17816829257786476,301,35.633658515572954,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[100, 122, 30, 52, 52, 30]","[""ORC 229 x 7.9"", ""ORC 305 x 15.9"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 229 x 7.9,ORC 305 x 15.9,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
top_peso,2,True,True,True,0.7022864086504441,1.0,True,True,completo,0.7015931949616112,0.0,,152,0,0.3479125931122936,430,Viga_2,IR 305 x 38.7,F,65.86229048200303,189.30700349999998,64,0,0.3624350999983134,0.3624350999983134,102,Columna_1,ORC 203 x 9.5,SISMO_DOWN_1,64,0,0.7015931949616112,156,Contraviento_1,ORC 89 x 4.8,compresion,99.66221996961019,142.05129223789487,455.56094925,46352.25568228144,46352.25568228144,0.014918665522543768,0.0009189552488189844,0.7022864086504441,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,99662.21996961019,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7022864086504441,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.014918665522543768,True,0.0008761692534121999,0.005,0.17523385068243996,True,0.0038940855707208883,0.01,0.3894085570720888,4.444444444444445,0.0008761692534121999,SISMO_DOWN_1,Nivel 6.4 m,0.17523385068243996,0.3894085570720888,0.3894085570720888,auto,arriostrado,0.25,0.35,True,0.0,0.0009189552488189844,True,0.009145018399990462,0.1,0.09145018399990462,0.009145018399990462,0.09145018399990462,SISMO_DOWN_1,True,40.62978731224983,200.0,0.20314893656124916,301,40.62978731224983,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[101, 125, 30, 52, 52, 24]","[""ORC 203 x 9.5"", ""ORC 356 x 15.9"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 203 x 9.5,ORC 356 x 15.9,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 305 x 38.7
top_peso,3,True,True,True,0.6956167888368866,1.0,True,True,completo,0.6949301586041724,0.0,,152,0,0.31306347731731776,431,Viga_2,IR 356 x 44.6,PLT,54.02505188549193,172.56900213477385,64,0,0.34397695461017785,0.34397695461017785,106,Columna_2,ORC 254 x 15.9,GRAV_DISEÑO,64,0,0.6949301586041724,156,Contraviento_1,ORC 89 x 4.8,compresion,98.71572704480792,142.05129223789487,455.56094925,46979.16068228143,46979.16068228143,0.01702477308237989,0.00045556840657402575,0.6956167888368866,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,98715.72704480792,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.6956167888368866,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.01702477308237989,True,0.0008499313418764557,0.005,0.16998626837529113,True,0.0037774726305620254,0.01,0.37774726305620254,4.444444444444445,0.0008499313418764557,SISMO_DOWN_1,Nivel 6.4 m,0.16998626837529113,0.37774726305620254,0.37774726305620254,auto,arriostrado,0.25,0.35,True,0.0,0.00045556840657402575,True,0.008879221652587803,0.1,0.08879221652587803,0.008879221652587803,0.08879221652587803,SISMO_DOWN_1,True,33.11188870907426,200.0,0.16555944354537128,306,33.11188870907426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[107, 118, 30, 52, 52, 30]","[""ORC 254 x 9.5"", ""ORC 254 x 15.9"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 254 x 9.5,ORC 254 x 15.9,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
top_peso,4,True,True,True,0.6899318330941733,1.0,True,True,completo,0.6892508143742161,0.0,,152,0,0.3062881533853351,431,Viga_2,IR 356 x 44.6,PLT,52.85584099540984,172.56900213477385,64,0,0.3053415932968657,0.3053415932968657,102,Columna_1,ORC 254 x 9.5,SISMO_DOWN_1,64,0,0.6892508143742161,156,Contraviento_1,ORC 89 x 4.8,compresion,97.9089688578788,142.05129223789487,455.56094925,47997.52868228144,47997.52868228144,0.018929689634388968,0.0003933245841329145,0.6899318330941733,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,97908.9688578788,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.6899318330941733,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.018929689634388968,True,0.0008455098064565135,0.005,0.1691019612913027,True,0.003757821362028949,0.01,0.3757821362028949,4.444444444444445,0.0008455098064565135,SISMO_DOWN_1,Nivel 6.4 m,0.1691019612913027,0.3757821362028949,0.3757821362028949,auto,arriostrado,0.25,0.35,True,0.0,0.0003933245841329145,True,0.00882540770474597,0.1,0.0882540770474597,0.00882540770474597,0.0882540770474597,SISMO_DOWN_1,True,33.509156534002095,200.0,0.16754578267001047,306,33.509156534002095,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[107, 121, 30, 52, 52, 30]","[""ORC 254 x 9.5"", ""ORC 254 x 19.1"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 254 x 9.5,ORC 254 x 19.1,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
top_peso,5,True,True,True,0.6979214254826187,1.0,True,True,completo,0.6972325203864713,0.0,,152,0,0.29467112519250815,130,Viga_1,IR 356 x 44.6,F,70.963683273865,240.82333559999998,64,0,0.30348025040632265,0.30348025040632265,102,Columna_1,ORC 203 x 12.7,SISMO_DOWN_1,64,0,0.6972325203864713,156,Contraviento_1,ORC 89 x 4.8,compresion,99.04278051118263,142.05129223789487,455.56094925,48481.880682281415,48481.880682281415,0.016281305274219646,0.0005523291400864693,0.6979214254826187,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,99042.78051118263,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.6979214254826187,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.016281305274219646,True,0.0008562424250310701,0.005,0.17124848500621404,True,0.0038055218890269784,0.01,0.3805521889026978,4.444444444444445,0.0008562424250310701,SISMO_DOWN_1,Nivel 6.4 m,0.17124848500621404,0.3805521889026978,0.3805521889026978,auto,arriostrado,0.25,0.35,True,0.0,0.0005523291400864693,True,0.008933954426630128,0.1,0.08933954426630128,0.008933954426630128,0.08933954426630128,SISMO_DOWN_1,True,41.40342955987133,200.0,0.20701714779935665,301,41.40342955987133,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[109, 122, 30, 52, 52, 30]","[""ORC 203 x 12.7"", ""ORC 305 x 15.9"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 203 x 12.7,ORC 305 x 15.9,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
menor_esbeltez,8,True,True,True,0.6688708130927787,1.0,True,True,completo,0.6682105833090531,0.0,,152,0,0.30560559970486595,130,Viga_1,IR 356 x 44.6,F,73.5969598989642,240.82333559999998,64,0,0.29889475908123536,0.29889475908123536,102,Columna_1,ORC 254 x 9.5,SISMO_DOWN_1,64,0,0.6682105833090531,268,Contraviento_1,ORC 89 x 4.8,compresion,94.92017684608851,142.05129223789487,455.56094925,49561.17668228147,49561.17668228147,0.02686697446710778,0.0002655122629506704,0.6688708130927787,SISMO_DOWN_1,268,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,94920.1768460885,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.6688708130927787,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.02686697446710778,True,0.0008351615500661417,0.005,0.16703231001322832,True,0.0037118291114050742,0.01,0.3711829111405074,4.444444444444445,0.0008351615500661417,SISMO_DOWN_1,Nivel 6.4 m,0.16703231001322832,0.3711829111405074,0.3711829111405074,auto,arriostrado,0.25,0.35,True,0.0,0.0002655122629506704,True,0.00863028520171442,0.1,0.08630285201714419,0.00863028520171442,0.08630285201714419,SISMO_DOWN_1,True,32.20505430675566,200.0,0.16102527153377832,301,32.20505430675566,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[107, 125, 30, 52, 52, 30]","[""ORC 254 x 9.5"", ""ORC 356 x 15.9"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 254 x 9.5,ORC 356 x 15.9,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
"deriva_colapso_mas_eficiente, deriva_servicio_mas_eficiente",25,True,True,True,0.7487793628035059,1.0,True,True,completo,0.7480402567951632,0.0,,152,0,0.2706944916843308,430,Viga_2,IR 254 x 58.0,F,64.43348604258594,238.03028145000002,64,0,0.3850065795171672,0.3850065795171672,102,Columna_1,ORC 229 x 7.9,SISMO_DOWN_1,64,0,0.7480402567951632,156,Contraviento_1,ORC 89 x 4.8,compresion,106.26008512371965,142.05129223789487,455.56094925,57548.44268228141,57548.44268228141,0.004099302616898253,0.002062105518979324,0.7487793628035059,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,106260.08512371965,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7487793628035059,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.004099302616898253,True,0.0009203254551312265,0.005,0.1840650910262453,True,0.004090335356138785,0.01,0.40903353561387845,4.444444444444445,0.0009203254551312265,SISMO_DOWN_1,Nivel 6.4 m,0.1840650910262453,0.40903353561387845,0.40903353561387845,auto,arriostrado,0.25,0.35,True,0.0,0.002062105518979324,True,0.009641427507692275,0.1,0.09641427507692274,0.009641427507692275,0.09641427507692274,SISMO_DOWN_1,True,35.633658515572954,200.0,0.17816829257786476,301,35.633658515572954,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[100, 122, 45, 52, 52, 38]","[""ORC 229 x 7.9"", ""ORC 305 x 15.9"", ""IR 254 x 67.0"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 254 x 58.0""]",ORC 229 x 7.9,ORC 305 x 15.9,IR 254 x 67.0,ORC 89 x 4.8,ORC 89 x 4.8,IR 254 x 58.0
mejor_balance_objetivos,26,True,True,True,0.760285847800829,1.0,True,True,completo,0.7595353839578305,0.0,,152,0,0.20562737058073782,130,Viga_1,IR 305 x 67.0,F,67.19642054823176,326.78733554999997,64,0,0.38589115250487305,0.38589115250487305,102,Columna_1,ORC 229 x 7.9,SISMO_DOWN_1,64,0,0.7595353839578305,156,Contraviento_1,ORC 89 x 4.8,compresion,107.89298279161547,142.05129223789487,455.56094925,57587.41668228134,57587.41668228134,0.0024643966951545695,0.0015403230476726236,0.760285847800829,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,107892.98279161546,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.760285847800829,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.0024643966951545695,True,0.0009022973273850226,0.005,0.1804594654770045,True,0.004010210343933434,0.01,0.4010210343933434,4.444444444444445,0.0009022973273850226,SISMO_DOWN_1,Nivel 6.4 m,0.1804594654770045,0.4010210343933434,0.4010210343933434,auto,arriostrado,0.25,0.35,True,0.0,0.0015403230476726236,True,0.009504283957888384,0.1,0.09504283957888383,0.009504283957888384,0.09504283957888383,SISMO_DOWN_1,True,35.633658515572954,200.0,0.17816829257786476,301,35.633658515572954,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[100, 118, 44, 52, 52, 44]","[""ORC 229 x 7.9"", ""ORC 254 x 15.9"", ""IR 305 x 67.0"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 305 x 67.0""]",ORC 229 x 7.9,ORC 254 x 15.9,IR 305 x 67.0,ORC 89 x 4.8,ORC 89 x 4.8,IR 305 x 67.0
deriva_equilibrada,46,True,True,True,0.6273176535822551,1.0,True,True,completo,0.6266984401397717,0.0,,152,0,0.20254076340660937,130,Viga_1,IR 305 x 78.9,F,80.26758303946966,396.3033499499999,64,0,0.17559907782266782,0.17559907782266782,106,Columna_2,ORC 356 x 15.9,SISMO_DOWN_1,64,0,0.6266984401397717,268,Contraviento_1,ORC 89 x 4.8,compresion,89.02332326532758,142.05129223789487,455.56094925,74630.62368228131,74630.62368228131,0.046592488694278233,4.690255197670277e-10,0.6273176535822551,SISMO_DOWN_1,268,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,89023.32326532758,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.6273176535822551,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.046592488694278233,True,0.0007875633467162728,0.005,0.15751266934325456,True,0.0035002815409612125,0.01,0.35002815409612126,4.444444444444445,0.0007875633467162728,SISMO_DOWN_1,Nivel 6.4 m,0.15751266934325456,0.35002815409612126,0.35002815409612126,auto,arriostrado,0.25,0.35,True,0.0,4.690255197670277e-10,True,0.008065978903848949,0.1,0.08065978903848949,0.008065978903848949,0.08065978903848949,SISMO_DOWN_1,True,33.11188870907426,200.0,0.16555944354537128,301,33.11188870907426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[118, 125, 54, 52, 52, 44]","[""ORC 254 x 15.9"", ""ORC 356 x 15.9"", ""IR 305 x 78.9"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 305 x 67.0""]",ORC 254 x 15.9,ORC 356 x 15.9,IR 305 x 78.9,ORC 89 x 4.8,ORC 89 x 4.8,IR 305 x 67.0
dc_mas_eficiente,54,True,True,True,0.799468532485679,1.0,True,True,completo,0.7994018042024805,0.0,,152,0,0.18060787393154923,431,Viga_2,IR 406 x 59.5,PLT,50.044300520880746,277.08814367555004,64,0,0.1706627851252361,0.1706627851252361,106,Columna_2,ORC 406 x 15.9,SISMO_DOWN_1,64,0,0.7994018042024805,256,Contraviento_1,ORC 76 x 6.4,compresion,78.03773515166246,97.62016390432899,448.70611365,79088.75965753809,79088.75965753809,4.413401855916275e-07,0.06370645488538698,0.799468532485679,SISMO_DOWN_1,256,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,78037.73515166246,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.799468532485679,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,4.413401855916275e-07,True,0.0006739193805515621,0.005,0.13478387611031242,True,0.0029951972468958317,0.01,0.29951972468958316,4.444444444444445,0.0006739193805515621,SISMO_DOWN_1,Nivel 6.4 m,0.13478387611031242,0.29951972468958316,0.29951972468958316,auto,arriostrado,0.25,0.35,True,0.0,0.06370645488538698,True,0.006947918464471011,0.1,0.0694791846447101,0.006947918464471011,0.0694791846447101,SISMO_DOWN_1,True,33.509156534002095,200.0,0.16754578267001047,301,33.509156534002095,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[121, 127, 57, 51, 51, 40]","[""ORC 254 x 19.1"", ""ORC 406 x 15.9"", ""IR 533 x 81.8"", ""ORC 76 x 6.4"", ""ORC 76 x 6.4"", ""IR 406 x 59.5""]",ORC 254 x 19.1,ORC 406 x 15.9,IR 533 x 81.8,ORC 76 x 6.4,ORC 76 x 6.4,IR 406 x 59.5
